TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human,ModeDelta_H2M
0,3, ,autonomous,0,0,20,0,3.69,3.76,275.6567522121, ,0, ,,0,0,0.8,3.9760479042,0,0
1,3, ,autonomous,0,-9.9294775214,20,1.0044791239,4.18,4.11,274.6347358014, ,0, ,,0,0.42,0.8,3.9760479042,0,0
2,3, ,autonomous,0,-3.9322145959,20,3.0641624658,3.91,4.01,273.1717977436, ,0, ,,0,-0.185,0.8,3.9760479042,0,0
3,3, ,autonomous,0,-1.3562236118,20,4.2726167323,3.85,3.82,272.3904990194, ,0, ,,0,-0.125,0.8,3.9760479042,0,0
4,3, ,autonomous,0,-0.9694154189,20,4.9220539774,3.92,3.98,272.3904990194, ,0, ,,0,0.115,0.8,3.9760479042,0,0
5,3, ,autonomous,0,-0.7636353653,20,5.5678535698,3.9,3.88,279.2360102759, ,0, ,,0,-0.06,0.8,3.9760479042,0,0
6,3, ,autonomous,0,-0.587824435,20,6.4040631807,3.48,3.59,275.9991168028, ,0, ,,0,-0.355,0.8,3.9760479042,0,0
7,3, ,autonomous,0,-0.4328645754,20,7.0058865239,3.91,4,273.1717977436, ,0, ,,0,0.42,0.8,3.9760479042,0,0
8,3, ,autonomous,0,-0.3109340456,20,7.4926851027,3.75,3.75,268.8750268875, ,0, ,,0,-0.205,0.8,3.9760479042,0,0
9,3, ,autonomous,0,-0.2182082276,20,7.894652551,3.92,3.84,267.7949761662, ,0, ,,0,0.13,0.8,3.9760479042,0,0
10,3, ,autonomous,0,-0.1480059243,20,8.2316245327,3.8,3.78,266.1910719514, ,0, ,,0,-0.09,0.8,3.9760479042,0,0
11,3, ,autonomous,0,-0.0948837488,20,8.5492553735,3.74,3.74,265.5548769153, ,0, ,,0,-0.05,0.8,3.9760479042,0,0
12,3, ,autonomous,0,-0.062142005,20,8.8657202146,3.76,3.8,265.7666037686, ,0, ,,0,0.04,0.8,3.9760479042,0,0
13,3, ,autonomous,0,-0.0455028608,20,9.1813648787,3.88,4.03,266.616898179, ,0, ,,0,0.175,0.8,3.9760479042,0,0
14,3, ,autonomous,0,-0.028437671,20,9.6906158375,3.7,3.75,267.4726509214, ,0, ,,0,-0.23,0.8,3.9760479042,0,0
15,3, ,autonomous,0,-0.0198513162,20,10.0182550426,4.15,4.25,268.4419628476, ,0, ,,0,0.475,0.8,3.9760479042,0,0
16,3, ,autonomous,0,-0.0087355669,20,10.3108668156,3.57,3.67,269.2007429941, ,0, ,,0,-0.58,0.8,3.9760479042,0,0
17,3, ,autonomous,0,-0.0059386269,20,10.5739091609,3.95,3.85,269.3094904664, ,0, ,,0,0.28,0.8,3.9760479042,0,0
18,4,obstacle alarm,autonomous,0,48.1201069696,20,10.810262715,4.24,4.07,270.2921858529,obstacle detected,36.5770301819,obstacle detected,obstacle detected,34.4168586731,0.255,0.8,3.9760479042,1,0
19,4,obstacle alarm,autonomous,0,13.2290763514,20,11.024019327,4.47,4.36,271.0614767429, ,0,obstacle detected,,23.5568199158,0.26,0.8,3.9760479042,0,0
20,4,obstacle alarm,autonomous,0,-17.6182723045,20,11.2110910125,4.1,4.13,271.3925149944, ,0,obstacle detected,,13.7005748749,-0.3,0.8,3.9760479042,0,0
21,4,obstacle alarm,autonomous,0,19.7650473483,20,11.4374995064,4.04,3.98,266.4038149026, ,0,obstacle detected,,4.553668499,-0.105,0.8,3.9760479042,0,0
22,4, ,autonomous,0,-5.2515460537,20,11.6416540904,4.05,4.01,258.6519062645, ,0, ,,0,0.02,0.8,3.9760479042,0,0
23,4, ,autonomous,0,-5.3272393731,20,11.844690353,3.73,3.69,254.7965449589, ,0, ,,0,-0.32,0.8,3.9760479042,0,0
24,4, ,autonomous,0,-2.1706440945,20,12.0466867519,3.9,3.87,254.0198643534, ,0, ,,0,0.175,0.8,3.9760479042,0,0
25,4, ,autonomous,0,-0.6720058827,20,12.2476024922,3.95,3.99,254.504733788, ,0, ,,0,0.085,0.8,3.9760479042,0,0
26,4, ,autonomous,0,-0.2421764171,20,12.437452802,3.79,3.78,255.5779896235, ,0, ,,0,-0.185,0.8,3.9760479042,0,0
27,4, ,autonomous,0,-0.1432677494,20,12.6461154735,3.75,3.75,257.0561924837, ,0, ,,0,-0.035,0.8,3.9760479042,0,0
28,4, ,autonomous,0,-0.095954949,20,12.8735185205,3.72,3.63,263.2479532472, ,0, ,,0,-0.075,0.8,3.9760479042,0,0
29,4, ,autonomous,0,-0.0546048411,20,13.2096546437,3.85,3.78,263.4560160181, ,0, ,,0,0.14,0.8,3.9760479042,0,0
30,4, ,autonomous,0,-0.0218083029,20,13.4327449667,3.77,3.79,264.5012828312, ,0, ,,0,-0.035,0.8,3.9760479042,0,0
31,4, ,autonomous,0,2.7383914875,20,13.6403676804,3.92,3.8,265.7666037686, ,0, ,,0,0.08,0.8,3.9760479042,0,0
32,4, ,autonomous,0,58.0717904666,20,13.8359829821,4.29,4.23,267.4726509214, ,0, ,,0,0.4,0.8,3.9760479042,0,0
33,4, ,autonomous,0,52.8790007616,20,14.020142381,3.89,3.81,270.182643467, ,0, ,,0,-0.41,0.8,3.9760479042,0,0
34,3, ,autonomous,0,32.6179985041,20,14.194105026,3.8,3.59,269.9638248475, ,0, ,,0,-0.155,0.8,3.9760479042,-1,0
35,3, ,autonomous,0,25.2168586656,20,14.3584790591,3.8,3.67,265.872593853, ,0, ,,0,0.04,0.8,3.9760479042,0,0
36,3, ,autonomous,0,9.8338662949,20,14.4985610795,3.89,3.81,258.3512026248, ,0, ,,0,0.115,0.8,3.9760479042,0,0
37,3, ,autonomous,0,9.6258912475,20,14.6608807971,3.74,3.64,265.0270327573, ,0, ,,0,-0.16,0.8,3.9760479042,0,0
38,3, ,autonomous,0,11.8518086787,20,14.801801845,3.91,3.82,259.8617535471, ,0, ,,0,0.175,0.8,3.9760479042,0,0
39,3, ,autonomous,0,18.533656799,20,14.9368254906,3.98,3.98,259.1546375722, ,0, ,,0,0.115,0.8,3.9760479042,0,0
40,3, ,autonomous,0,-34.371211158,20,15.0653683188,4.26,4.18,259.3562777187, ,0, ,,0,0.24,0.8,3.9760479042,0,0
41,3, ,autonomous,0,-45.8522771655,20,15.1878739122,3.77,3.79,260.2675550466, ,0, ,,0,-0.44,0.8,3.9760479042,0,0
42,3, ,autonomous,0,-40.6460179467,20,15.30394255,3.78,3.73,257.8515806302, ,0, ,,0,-0.025,0.8,3.9760479042,0,12
43,3, ,autonomous,0,-25.5295448137,20,15.4140768769,5,5,255.1866690484, ,0, ,,0,1.245,0.8,3.9760479042,0,12
44,3, ,autonomous,0,-29.4524307414,20,15.5181740543,3.85,3.84,254.8939641109, ,0, ,,0,-1.155,0.8,3.9760479042,0,12
45,3, ,autonomous,0,-16.6918085602,20,15.6165791854,3.8,3.73,255.3821794315, ,0, ,,0,-0.08,0.8,3.9760479042,0,12
46,3, ,autonomous,0,-13.3622137843,15,15.6796694728,3.74,3.58,255.4800470083, ,0, ,,0,-0.105,0.8,3.9760479042,0,12
47,4, ,autonomous,0,-14.6092721652,20,15.635228893,3.91,3.86,256.5615619468, ,0, ,,0,0.225,0.8,3.9760479042,1,12
48,4, ,autonomous,0,-10.1918102902,15,15.672456798,4.07,4.14,255.8722685635, ,0, ,,0,0.22,0.8,3.9760479042,0,12
49,4, ,autonomous,0,-5.3567132885,20,15.6344119933,4.25,4.18,269.5272492049, ,0, ,,0,0.11,0.8,3.9760479042,0,12
50,4, ,autonomous,0,-5.73483552,15,15.6710657656,4.62,4.52,268.4419628476, ,0, ,,0,0.355,0.8,3.9760479042,0,12
51,0, ,manual,48.8059815366,-13.5381094072,0,14.9887041227,4.55,4.46,264.8164821779, ,0, ,,0,-0.065,0.8,3.9760479042,-4,0
52,0, ,manual,99.9984740978,-6.2265964752,0,8.7883320844,4.97,4.86,250.3003604325, ,0, ,,0,0.41,0.8,3.9760479042,0,0
53,0, ,manual,0,7.5559624628,0,4.1879951868,4.75,4.61,245.2362851608, ,0, ,,0,-0.235,0.8,3.9760479042,0,0
54,0, ,manual,0,4.6005951019,0,4.081545151,4.4,4.28,231.604789587, ,0, ,,0,-0.34,0.8,3.9760479042,0,0
55,0, ,manual,0,14.5214007782,21.6525520714,3.9715860035,4.12,4.07,228.0397701359, ,0, ,,0,-0.245,0.8,3.9760479042,0,-12
56,0,pedestrian alarm,manual,0,-36.8624399176,32.6939803159,4.2011090888,4.41,4.28,226.0295646671, ,0,pedestrian detected,pedestrian detected,36.4153938293,0.25,0.8,3.9760479042,0,-12
57,0,pedestrian alarm,manual,0,-26.298924239,40.1419089036,5.5465476036,4.54,4.43,227.4174474666, ,0,pedestrian detected,,31.9034976959,0.14,0.8,3.9760479042,0,-12
58,0,pedestrian alarm,manual,0,-5.4026092927,42.1835660334,7.1708946327,4.37,4.34,229.7688525344, ,0,pedestrian detected,,25.5674953461,-0.13,0.8,3.9760479042,0,-12
59,0,pedestrian alarm,manual,0,12.7580682078,40.4119935912,9.3795514898,4.21,4.12,235.2830455037, ,0,pedestrian detected,,18.2065486908,-0.19,0.8,3.9760479042,0,-12
60,0, ,manual,0,35.4726482033,31.3954375525,10.8807769942,4.14,4.1,231.2031813558, ,0, ,,0,-0.045,0.8,3.9760479042,0,-12
61,0, ,manual,0,50.485694667,29.8283360037,11.8995065167,4.16,4.22,233.879832542, ,0, ,,0,0.07,0.8,3.9760479042,0,-12
62,0, ,manual,0,46.1460288396,0,12.4657595248,4.28,4.27,234.7858752817, ,0, ,,0,0.085,0.8,3.9760479042,0,-12
63,0, ,manual,0,7.0505836576,0,12.5336232189,4.14,4.06,244.875970321, ,0, ,,0,-0.175,0.8,3.9760479042,0,-12
64,3, ,autonomous,0,-43.1259495398,20,12.3868961459,4.45,4.42,241.9432884932, ,0, ,,0,0.335,0.8,3.9760479042,3,0
65,3, ,autonomous,0,7.7205717436,20,12.31802235,4.48,4.36,234.62061846, ,0, ,,0,-0.015,0.8,3.9760479042,0,0
66,3, ,autonomous,0,13.458375959,20,12.5537706537,3.99,3.86,232.8993641847, ,0, ,,0,-0.495,0.8,3.9760479042,0,0
67,3, ,autonomous,0,1.7315615648,20,12.8062582272,3.77,3.64,232.4932576955, ,0, ,,0,-0.22,0.8,3.9760479042,0,0
68,3, ,autonomous,0,15.2235094448,20,13.046672571,3.82,3.77,231.604789587, ,0, ,,0,0.09,0.8,3.9760479042,0,0
69,3, ,autonomous,0,4.8560147045,20,13.2750694378,3.77,3.71,234.5380772568, ,0, ,,0,-0.055,0.8,3.9760479042,0,0
70,3, ,autonomous,0,19.6891580595,20,13.4918433291,4.04,3.97,256.2656962739, ,0, ,,0,0.265,0.8,3.9760479042,0,0
71,3, ,autonomous,0,7.6035892311,20,13.6955498112,3.93,3.85,252.0987218595, ,0, ,,0,-0.115,0.8,3.9760479042,0,0
72,3, ,autonomous,0,17.4327076775,20,13.8876374305,4.04,4.11,248.2498386376, ,0, ,,0,0.185,0.8,3.9760479042,0,0
73,3, ,autonomous,0,15.5945297996,20,14.0692307235,4.14,4.17,251.9082046502, ,0, ,,0,0.08,0.8,3.9760479042,0,0
74,3, ,autonomous,0,24.4623966429,20,14.2406016661,4.01,4.05,263.7687275797, ,0, ,,0,-0.125,0.8,3.9760479042,0,0
75,3, ,autonomous,0,34.7076360685,20,14.4024602551,3.92,3.92,267.9025906181, ,0, ,,0,-0.11,0.8,3.9760479042,0,0
76,3, ,autonomous,0,45.3992699614,20,14.5553651109,4.1,4.02,259.0539350293, ,0, ,,0,0.14,0.8,3.9760479042,0,0
77,3, ,autonomous,0,56.9135479867,20,14.7006692962,4.03,3.9,256.0688313019, ,0, ,,0,-0.095,0.8,3.9760479042,0,0
78,3, ,autonomous,0,6.6295244726,20,14.8398947358,3.81,3.83,254.0198643534, ,0, ,,0,-0.145,0.8,3.9760479042,0,0
79,3, ,autonomous,0,-5.4502101778,20,14.9730689963,3.88,3.82,250.0187514064, ,0, ,,0,0.03,0.8,3.9760479042,0,0
80,3, ,autonomous,0,-10.1206990622,20,15.0999935334,3.88,3.92,248.6201581224, ,0, ,,0,0.05,0.8,3.9760479042,0,0
81,3, ,autonomous,0,-13.8070970184,20,15.2207000515,4.04,4.04,246.2326405988, ,0, ,,0,0.14,0.8,3.9760479042,0,0
82,3, ,autonomous,0,-17.5928861745,20,15.3350917048,4.04,4.01,245.6881725714, ,0, ,,0,-0.015,0.8,3.9760479042,0,0
83,3, ,autonomous,0,-21.8364282439,20,15.4435854867,4.02,4.06,246.5057805606, ,0, ,,0,0.015,0.8,3.9760479042,0,0
84,4, ,autonomous,0,-19.8867045583,20,15.5460515001,4.11,3.99,247.2371251267, ,0, ,,0,0.01,0.8,3.9760479042,1,0
85,4, ,autonomous,0,-8.753496822,20,15.6429220535,4.14,4,248.4348603796, ,0, ,,0,0.02,0.8,3.9760479042,0,0
86,4, ,autonomous,0,-6.4326743012,15,15.6676796805,4.16,4.01,249.8313638294, ,0, ,,0,0.015,0.8,3.9760479042,0,0
87,5, ,autonomous,0,-5.135552292,20,15.6440989448,3.87,3.9,250.8654859264, ,0, ,,0,-0.2,0.8,3.9760479042,1,0
88,5, ,autonomous,0,-8.7458690247,15,15.6646144795,3.89,3.84,251.6229681445, ,0, ,,0,-0.02,0.8,3.9760479042,0,0
89,5, ,autonomous,0,-12.5232620541,15,15.6511448245,4.22,4.1,252.8636811895, ,0, ,,0,0.295,0.8,3.9760479042,0,0
90,5, ,autonomous,0,-15.0931549146,15,15.6604332758,4.25,4.36,254.0198643534, ,0, ,,0,0.145,0.8,3.9760479042,0,0
91,5, ,autonomous,0,-18.6737609654,15,15.6589578647,4.48,4.63,253.7298284786, ,0, ,,0,0.25,0.8,3.9760479042,0,0
92,5, ,autonomous,0,-15.5008477478,15,15.6533992304,3.66,3.68,253.5368389027, ,0, ,,0,-0.885,0.8,3.9760479042,0,0
93,5, ,autonomous,0,-10.6619878688,15,15.6660241721,3.85,3.9,254.0198643534, ,0, ,,0,0.205,0.8,3.9760479042,0,0
94,5, ,autonomous,0,-13.1113542751,15,15.6485063935,5,4.03,254.6992002445, ,0, ,,0,0.64,0.8,3.9760479042,0,0
95,5, ,autonomous,0,3.8988962612,15,15.6711104972,4.04,4,258.6519062645, ,0, ,,0,-0.495,0.8,3.9760479042,0,0
96,5, ,autonomous,0,37.7505253691,20,15.6435119738,4.23,4.21,263.1440450503, ,0, ,,0,0.2,0.8,3.9760479042,0,0
97,5, ,autonomous,0,51.0004994402,15,15.6738268822,3.92,3.89,260.776592693, ,0, ,,0,-0.315,0.8,3.9760479042,0,0
98,5, ,autonomous,0,50.324557463,20,15.6387726151,3.95,3.91,264.2915664561, ,0, ,,0,0.025,0.8,3.9760479042,0,0
99,5, ,autonomous,0,49.8435056068,15,15.6745654258,5,4.04,259.4572155052, ,0, ,,0,0.59,0.8,3.9760479042,0,0
100,5, ,autonomous,0,49.7579273534,20,15.6362134059,4.22,4.14,254.4076118757, ,0, ,,0,-0.34,0.8,3.9760479042,0,0
101,5, ,autonomous,0,47.7541670412,15,15.6736651449,4.01,3.92,254.4076118757, ,0, ,,0,-0.215,0.8,3.9760479042,0,0
102,5, ,autonomous,0,50.1296297474,20,15.6335558172,3.95,3.85,249.8313638294, ,0, ,,0,-0.065,0.8,3.9760479042,0,0
103,5, ,autonomous,0,48.9682968865,15,15.6758078394,3.94,3.86,242.7361215623, ,0, ,,0,-4.44089209850063E-16,0.8,3.9760479042,0,0
104,5, ,autonomous,0,46.7734063869,20,15.6355708391,4.04,3.93,238.1405982092, ,0, ,,0,0.085,0.8,3.9760479042,0,0
105,5, ,autonomous,0,49.7975816733,15,15.6721372868,4.02,3.96,236.4513383146, ,0, ,,0,0.005,0.8,3.9760479042,0,0
106,5, ,autonomous,0,47.9659588636,20,15.6376863259,3.95,3.92,236.6191850835, ,0, ,,0,-0.055,0.8,3.9760479042,0,0
107,5, ,autonomous,0,50.3776968372,15,15.6692967626,4.11,4.07,237.2929618908, ,0, ,,0,0.155,0.8,3.9760479042,0,0
108,5, ,autonomous,0,49.0498826923,20,15.6422157123,4.2,4.24,239.0800200827, ,0, ,,0,0.13,0.8,3.9760479042,0,0
109,5, ,autonomous,0,46.8489503222,15,15.6655642087,3.91,3.81,239.0800200827, ,0, ,,0,-0.36,0.8,3.9760479042,0,0
110,5, ,autonomous,0,60.458558341,15,15.6484764857,3.9,3.86,235.9492237271, ,0, ,,0,0.02,0.8,3.9760479042,0,0
111,5, ,autonomous,0,129.2552812965,15,15.6613711919,3.87,3.79,235.0341974757, ,0, ,,0,-0.05,0.8,3.9760479042,0,0
112,5, ,autonomous,0,-16.2961561533,15,15.6558874909,4.1,4.08,236.3675041955, ,0, ,,0,0.26,0.8,3.9760479042,0,0
113,5, ,autonomous,0,7.8701194958,15,15.6565511088,4.01,3.96,240.7202349429, ,0, ,,0,-0.105,0.8,3.9760479042,0,0
114,5, ,autonomous,0,-0.0973334808,15,15.657390091,4.2,4.18,245.7787499693, ,0, ,,0,0.205,0.8,3.9760479042,0,0
115,5, ,autonomous,0,-1.3167539042,15,15.6586538124,4.22,4.18,243.1788337143, ,0, ,,0,0.01,0.8,3.9760479042,0,0
116,5, ,autonomous,0,-0.7892306093,15,15.6591963772,4.3,4.27,241.4176041717, ,0, ,,0,0.085,0.8,3.9760479042,0,0
117,3, ,autonomous,0,-0.2925916555,15,15.6536106474,4.17,4.21,237.462006079, ,0, ,,0,-0.095,0.8,3.9760479042,-2,0
118,3, ,autonomous,0,-0.0440675188,15,15.6662228667,4.11,4.15,234.8685910233, ,0, ,,0,-0.06,0.8,3.9760479042,0,0
119,3, ,autonomous,0,0.0026778971,15,15.648694854,4.22,4.22,235.3661119872, ,0, ,,0,0.09,0.8,3.9760479042,0,0
120,3, ,autonomous,0,0.0223943486,15,15.6712850889,3.92,3.87,236.7031978602, ,0, ,,0,-0.325,0.8,3.9760479042,0,0
121,3,cyclist alarm,autonomous,0,0.0114228289,20,15.6436726779,3.69,3.62,237.2085300187, ,0,cyclist detected,cyclist detected,38.5361633301,-0.24,0.8,3.9760479042,0,0
122,3,cyclist alarm,autonomous,0,0.005702161,15,15.6739674559,3.89,3.85,244.1585077032, ,0,cyclist detected,,26.0524024963,0.215,0.8,3.9760479042,0,0
123,3,cyclist alarm,autonomous,0,0.0220995115,20,15.6388939231,3.78,3.73,241.6801604756, ,0,cyclist detected,,13.073548317,-0.115,0.8,3.9760479042,0,0
124,3, ,autonomous,0,0.0232373597,15,15.6746771814,3.79,3.79,250.3943711345, ,0, ,,0,0.035,0.8,3.9760479042,0,0
125,3, ,autonomous,0,0.0186108707,20,15.6346871511,4.03,3.97,244.1585077032, ,0, ,,0,0.21,0.8,3.9760479042,0,0
126,3, ,autonomous,0,-0.6548694755,15,15.6767976125,3.96,3.87,242.7361215623, ,0, ,,0,-0.085,0.8,3.9760479042,0,0
127,3, ,autonomous,0,-56.1210479026,20,15.6367129371,4.16,4.14,243.5341678437, ,0, ,,0,0.235,0.8,3.9760479042,0,0
128,3, ,autonomous,0,-67.3694900034,15,15.6739222647,4.09,4.13,252.2895274617, ,0, ,,0,-0.04,0.8,3.9760479042,0,0
129,3, ,autonomous,0,-63.0861643352,20,15.6357465269,3.86,3.82,251.2436560977, ,0, ,,0,-0.27,0.8,3.9760479042,0,0
130,3, ,autonomous,0,-67.2045720831,15,15.6723199307,3.75,3.75,249.5508085446, ,0, ,,0,-0.09,0.8,3.9760479042,0,0
131,3, ,autonomous,0,-61.3113214787,20,15.6378500236,3.99,4.03,248.2498386376, ,0, ,,0,0.26,0.8,3.9760479042,0,0
132,4,pedestrian alarm,autonomous,0,-92.5905492401,15,15.6694740531,4.01,4.06,248.9915840845, ,0,false alarm,false alarm,38.9975662231,0.025,0.8,3.9760479042,1,0
133,4,pedestrian alarm,autonomous,0,-38.0818087405,20,15.6373220956,4.04,4.1,249.2708826682, ,0,false alarm,,23.831735611,0.035,0.8,3.9760479042,0,0
134,4, ,autonomous,0,109.8282793039,15,15.6717008373,4.46,4.31,250.0187514064, ,0, ,,0,0.315,0.8,3.9760479042,0,0
135,4, ,autonomous,0,42.3439902511,20,15.6393460822,4.55,4.55,252.3850386149, ,0, ,,0,0.165,0.8,3.9760479042,0,0
136,4, ,autonomous,0,57.8259533951,15,15.6672031511,3.64,4.17,251.9082046502, ,0, ,,0,-0.645,0.8,3.9760479042,0,0
137,4, ,autonomous,0,59.5538642694,20,15.6448690566,3.76,3.88,248.7129106872, ,0, ,,0,-0.085,0.8,3.9760479042,0,0
138,4, ,autonomous,0,61.352632293,15,15.6631726422,4.24,4.21,247.2371251267, ,0, ,,0,0.405,0.8,3.9760479042,0,0
139,4, ,autonomous,0,55.5070889565,15,15.648246035,4.05,4.07,247.1454698235, ,0, ,,0,-0.165,0.8,3.9760479042,0,0
140,4, ,autonomous,0,57.1933412843,15,15.6586796598,3.73,3.97,246.1417284072, ,0, ,,0,-0.21,0.8,3.9760479042,0,0
141,4, ,autonomous,0,-10.7544065502,15,15.6595053883,3.64,3.63,247.1454698235, ,0, ,,0,-0.215,0.8,3.9760479042,0,0
142,4, ,autonomous,0,-6.7601013913,15,15.653897507,3.21,3.74,248.2498386376, ,0, ,,0,-0.16,0.8,3.9760479042,0,0
143,4, ,autonomous,0,-2.4228668713,15,15.6664870004,3.55,3.61,249.8313638294, ,0, ,,0,0.105,0.8,3.9760479042,0,0
144,4, ,autonomous,0,-0.4759110527,15,15.6489368803,3.73,3.85,251.3383768568, ,0, ,,0,0.21,0.8,3.9760479042,0,0
145,4, ,autonomous,0,0.1442280245,15,15.6693393592,3.47,3.51,252.9596276434, ,0, ,,0,-0.3,0.8,3.9760479042,0,0
146,4, ,autonomous,0,0.1268893055,15,15.646458322,3.62,3.68,254.3105640608, ,0, ,,0,0.16,0.8,3.9760479042,0,0
147,4, ,autonomous,0,0.0142975108,15,15.6712895909,3.83,3.86,258.9533107181, ,0, ,,0,0.195,0.8,3.9760479042,0,0
148,5, ,autonomous,0,-0.0272998681,20,15.6459425131,4.04,4.01,259.659326963, ,0, ,,0,0.18,0.8,3.9760479042,1,0
149,5, ,autonomous,0,0.0098644783,15,15.6725855363,4.08,4.01,263.2479532472, ,0, ,,0,0.02,0.8,3.9760479042,0,0
150,5, ,autonomous,0,0.0009962539,20,15.6408665664,3.92,3.94,260.5727388801, ,0, ,,0,-0.115,0.8,3.9760479042,0,0
151,5, ,autonomous,0,0.0054581092,15,15.6742555262,3.97,3.82,252.0987218595, ,0, ,,0,-0.035,0.8,3.9760479042,0,0
152,5, ,autonomous,0,-0.0009025918,20,15.6369851302,4.07,3.99,248.8986235906, ,0, ,,0,0.135,0.8,3.9760479042,0,0
153,5, ,autonomous,0,0.003746596,15,15.6741812793,3.81,3.81,246.7795271704, ,0, ,,0,-0.22,0.8,3.9760479042,0,0
154,5, ,autonomous,0,0.0208588429,20,15.63597476,3.78,3.76,246.3236199719, ,0, ,,0,-0.04,0.8,3.9760479042,0,0
155,5, ,autonomous,0,-0.0242945641,15,15.6725378939,4.2,4.11,246.9623629359, ,0, ,,0,0.385,0.8,3.9760479042,0,0
156,5, ,autonomous,0,-0.0190238584,20,15.6380440778,4.53,4.3,247.6964232636, ,0, ,,0,0.26,0.8,3.9760479042,0,0
157,5, ,autonomous,0,0.0196210924,15,15.6696334405,3.92,3.99,248.8986235906, ,0, ,,0,-0.46,0.8,3.9760479042,0,0
158,5, ,autonomous,0,0.0178657378,20,15.6374971662,3.67,3.75,248.7129106872, ,0, ,,0,-0.245,0.8,3.9760479042,0,0
159,5, ,autonomous,0,0.0169801226,15,15.6717793216,3.42,3.39,248.7129106872, ,0, ,,0,-0.305,0.8,3.9760479042,0,0
160,5, ,autonomous,0,0.0210533743,20,15.6375485982,3.76,3.74,251.2436560977, ,0, ,,0,0.345,0.8,3.9760479042,0,0
161,5, ,autonomous,0,0.0452768507,15,15.6691597322,3.74,3.62,252.0987218595, ,0, ,,0,-0.07,0.8,3.9760479042,0,0
162,5, ,autonomous,0,0.0019682835,20,15.6449779494,3.9,3.83,251.6229681445, ,0, ,,0,0.185,0.8,3.9760479042,0,0
163,5, ,autonomous,0,-0.0238049088,15,15.6632865407,4.15,4.08,252.0034272466, ,0, ,,0,0.25,0.8,3.9760479042,0,0
164,5, ,autonomous,0,-0.021264477,15,15.651903857,4.32,4.36,252.1940885706, ,0, ,,0,0.225,0.8,3.9760479042,0,0
165,5, ,autonomous,0,-0.0229504642,15,15.6587842271,3.87,3.88,251.5280327993, ,0, ,,0,-0.465,0.8,3.9760479042,0,0
166,5, ,autonomous,0,-0.0212718277,15,15.6596039183,4.03,4.01,248.4348603796, ,0, ,,0,0.145,0.8,3.9760479042,0,0
167,5,truck alarm,autonomous,0,0.0199732857,15,15.653988011,3.81,3.86,245.5072179122, ,0,truck detected,truck detected,35.8392791748,-0.185,0.8,3.9760479042,0,0
168,5,truck alarm,autonomous,0,0.0220594618,15,15.66657284,3.95,3.94,245.8693941778, ,0,truck detected,,12.0145559311,0.11,0.8,3.9760479042,0,0
169,5, ,autonomous,0,127.9368830124,15,15.6518532301,4.19,4.14,247.0538824518, ,0, ,,0,0.22,0.8,3.9760479042,0,0
170,5, ,autonomous,0,99.5269747615,15,15.668568471,4,4.06,249.6442569339, ,0, ,,0,-0.135,0.8,3.9760479042,0,0
171,5, ,autonomous,0,87.6641014551,15,15.651158529,4.78,4.69,248.6201581224, ,0, ,,0,0.705,0.8,3.9760479042,0,0
172,5, ,autonomous,0,83.9876881199,15,15.666121801,4.12,4.16,254.4076118757, ,0, ,,0,-0.595,0.8,3.9760479042,0,0
173,5, ,autonomous,0,83.7170938891,20,15.6460417909,4.08,4.1,252.0987218595, ,0, ,,0,-0.05,0.8,3.9760479042,0,0
174,5, ,autonomous,0,84.042468603,15,15.6727702484,4.18,4.1,246.7795271704, ,0, ,,0,0.05,0.8,3.9760479042,0,0
175,5, ,autonomous,0,83.8061876923,20,15.6410416474,4.08,4.08,246.8709112005, ,0, ,,0,-0.06,0.8,3.9760479042,0,0
176,5, ,autonomous,0,84.6338466343,15,15.6744192688,3.94,3.91,246.6882107704, ,0, ,,0,-0.155,0.8,3.9760479042,0,0
177,5, ,autonomous,0,4.9850343371,20,15.6371514037,3.68,3.76,247.2371251267, ,0, ,,0,-0.205,0.8,3.9760479042,0,0
178,5, ,autonomous,0,-11.915061542,15,15.6742890714,4.15,4.2,254.4076118757, ,0, ,,0,0.455,0.8,3.9760479042,0,0
179,5, ,autonomous,0,-7.6543059753,20,15.636073984,4.52,4.49,253.5368389027, ,0, ,,0,0.33,0.8,3.9760479042,0,0
0,3, ,autonomous,0,0,20,0,3.33,3.35,259.0539350293, ,0, ,,0,0,0.8,4.044198895,0,0
1,3, ,autonomous,0,-4.250870464,20,1.1006632961,3.31,3.39,257.0561924837, ,0, ,,0,0.01,0.8,4.044198895,0,0
2,3, ,autonomous,0,-2.6401533144,20,3.0641576302,3.38,3.57,255.970512197, ,0, ,,0,0.125,0.8,4.044198895,0,0
3,3, ,autonomous,0,-1.7324642348,20,4.2726172087,3.41,3.41,256.2656962739, ,0, ,,0,-0.065,0.8,4.044198895,0,0
4,3, ,autonomous,0,-1.3673020744,20,4.9220544556,3.49,3.41,256.8581115792, ,0, ,,0,0.04,0.8,4.044198895,0,0
5,3,cyclist alarm,autonomous,0,-1.0986820531,20,5.5085619404,3.31,3.39,261.0829721686, ,0,false alarm,false alarm,38.1651000977,-0.1,0.8,4.044198895,0,0
