TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.24,4.45,458.3581610671, ,0, ,0,65,0,0.8,rainy,3,0,-0.3061486915,7.8946525755
1,3, ,autonomous,0,1,0,2.8523689631,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,4.15,4.24,462.8129772759, ,0, ,0,60,-0.15,0.8,rainy,3,0,4.0417646384,7.130961248
2,3, ,autonomous,0,1,0,2.8523689631,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,4.35,4.67,467.6830979328, ,0, ,0,65,0.315,0.8,rainy,3,0,2.49694513,5.485097748
3,3, ,autonomous,0,1,0,2.8523689631,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,4.27,4.51,465.3976823195, ,0, ,0,64,-0.12,0.8,rainy,3,0,1.6379634128,4.5931030077
4,3, ,autonomous,0,1,0,2.8523689631,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,4.21,4.37,467.6830979328, ,0, ,0,65,-0.1,0.8,rainy,3,0,1.306539672,4.2593104238
5,3, ,autonomous,0,1,0,2.8523689631,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,4.47,4.53,472.9921483303, ,0, ,0,60,0.21,0.8,rainy,3,0,1.0441908395,4.1227619643
6,3, ,autonomous,0,1,0,2.8523689631,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,4.43,4.64,478.7666969886, ,0, ,0,62,0.035,0.8,rainy,3,0,4.0041396457,3.6116792719
7,3, ,autonomous,0,1,0,2.8523689631,1,0,-0.6283352647,20,0,20,-0.6283352647,1,6.9788898016,4.07,4.14,483.278561763, ,0, ,0,60,-0.43,0.8,rainy,3,0,-2.0673749052,3.094641838
8,3, ,autonomous,0,1,0,2.8523689631,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,4.04,4.25,486.8075163081, ,0, ,0,55,0.04,0.8,rainy,3,0,-7.1765655605,2.860945543
9,3, ,autonomous,0,1,0,2.8523689631,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8946525755,4.2,4.12,491.4729444144, ,0, ,0,64,0.015,0.8,rainy,3,0,-4.0142907683,2.4138534922
