TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.24,3.31,132.8197635808, ,0, ,0,71,0,0,sunny,2.3611111111,0,-0.3061486915,7.8946525755
1,3, ,autonomous,0,1,0,-0.1963836118,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,3.33,3.31,132.9150938381, ,0, ,0,75,0.045,0,sunny,2.3611111111,0,4.0417646384,7.130961248
2,3, ,autonomous,0,1,0,-0.1963836118,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,3.11,3.11,133.5862566459, ,0, ,0,73,-0.21,0,sunny,2.3611111111,0,2.49694513,5.485097748
3,3, ,autonomous,0,1,0,-0.1963836118,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,3.08,3.1,134.2642320086, ,0, ,0,77,-0.02,0,sunny,2.3611111111,0,1.6379634128,4.5931030077
4,3, ,autonomous,0,1,0,-0.1963836118,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,3.07,3.18,134.8508549544, ,0, ,0,74,0.035,0,sunny,2.3611111111,0,1.306539672,4.2593104238
5,3, ,autonomous,0,1,0,-0.1963836118,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,5,5,135.0475367329, ,0, ,0,71,1.875,0,sunny,2.3611111111,0,1.0441908395,4.1227619643
6,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,2.9,2.96,134.7527287428, ,0, ,0,69,-2.07,0,sunny,2.3611111111,0,0.811510184,3.6141916725
7,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,3.16,3.16,135.2447930755, ,0, ,0,75,0.23,0,sunny,2.3611111111,0,0.5904296325,3.3049801889
8,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,5,2.99,136.0396147358, ,0, ,0,73,0.835,0,sunny,2.3611111111,0,0.432454122,3.0812240059
9,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8946525755,3.17,3.22,136.9450302649, ,0, ,0,73,-0.8,0,sunny,2.3611111111,0,0.2979051652,2.9150693664
10,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.2091058256,20,0,20,-0.2091058256,1,8.2316245441,3.34,3.39,137.5553660348, ,0, ,0,78,0.17,0,sunny,2.3611111111,0,0.202020362,2.7922895361
11,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.1432081844,20,0,20,-0.1432081844,1,8.5492553782,3.41,3.47,137.5553660348, ,0, ,0,74,0.075,0,sunny,2.3611111111,0,0.1441647193,2.6824003904
12,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.094500822,20,0,20,-0.094500822,1,8.8657202164,3.63,3.66,136.6418889375, ,0, ,0,71,0.205,0,sunny,2.3611111111,0,0.0959625488,2.5717554423
13,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0607624024,20,0,20,-0.0607624024,1,9.1813648794,3.55,3.68,137.1478728365, ,0, ,0,78,-0.03,0,sunny,2.3611111111,0,0.0615464914,2.4602468333
14,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0429562836,20,0,20,-0.0429562836,1,9.6906158377,3.26,3.28,137.7600220416, ,0, ,0,74,-0.345,0,sunny,2.3611111111,0,0.0386472475,2.1540683716
15,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0213437161,20,0,20,-0.0213437161,1,10.0182550428,5,3.28,138.2743362832, ,0, ,0,73,0.87,0,sunny,2.3611111111,0,0.0195562877,2.0284313258
16,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0206823721,20,0,20,-0.0206823721,1,10.3108668157,3.43,3.5,138.896605367, ,0, ,0,75,-0.675,0,sunny,2.3611111111,0,0.0267137768,1.9367356468
17,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0073685071,20,0,20,-0.0073685071,1,10.5739091609,3.48,3.59,139.5245005023, ,0, ,0,74,0.07,0,sunny,2.3611111111,0,0.0107056622,1.873507973
18,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0082435262,20,0,20,-0.0082435262,1,10.8097219419,3.7,3.8,140.1580983349, ,0, ,0,74,0.215,0,sunny,2.3611111111,0,0.0080987716,1.8363935272
19,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0070854636,20,0,20,-0.0070854636,1,11.0239140802,3.8,3.95,140.9046075807, ,0, ,0,70,0.125,0,sunny,2.3611111111,0,0.0064894163,1.8496044387
20,3, ,autonomous,0,1,0,-0.1963836118,1,0,0.000956535,20,0,20,0.000956535,1,11.2316557686,3.78,3.92,140.6905090183, ,0, ,0,72,-0.025,0,sunny,2.3611111111,0,0.0008181114,1.9779988747
21,3, ,autonomous,0,1,0,-0.1963836118,1,0,0.0014617268,20,0,20,0.0014617268,1,11.4374756587,4.2,3.67,140.5837035371, ,0, ,0,73,0.085,0,sunny,2.3611111111,0,0.0074253054,1.995269308
22,3, ,autonomous,0,1,0,-0.1963836118,1,0,0.000784089,20,0,20,0.000784089,1,11.6416117127,3.72,3.91,140.7974769092, ,0, ,0,76,-0.12,0,sunny,2.3611111111,0,107.9443415005,1.9989239263
