TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.85,4.19,371.0988236167, ,0, ,0,80,0,0.8,rainy,3.3063583815,0,-0.3129654139,7.8763773234
1,3, ,autonomous,0,1,0,3.8960860609,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,3.42,3.82,346.4163231371, ,0, ,0,76,-0.4,0.8,rainy,3.3063583815,0,4.0417646384,7.130961248
2,3, ,autonomous,0,1,0,3.8960860609,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,3.62,4.09,335.7732858774, ,0, ,0,76,0.235,0.8,rainy,3.3063583815,0,2.49694513,5.485097748
3,3, ,autonomous,0,1,0,3.8878461891,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,3.62,3.96,345.5186234538, ,0, ,0,88,-0.065,0.8,rainy,3.3063583815,0,1.6379634128,4.5931030077
4,3, ,autonomous,0,1,0,3.8878461891,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,3.53,3.85,334.9298322002, ,0, ,0,88,-0.1,0.8,rainy,3.3063583815,0,1.306539672,4.2593104238
5,3, ,autonomous,0,1,0,3.8878461891,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,3.54,3.97,325.4466755622, ,0, ,0,89,0.065,0.8,rainy,3.3063583815,0,1.0441908395,4.1227619643
6,3, ,autonomous,0,1,0,3.8878461891,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,3.47,3.82,341.62339437, ,0, ,0,88,-0.11,0.8,rainy,3.3063583815,0,0.811510184,3.6141916725
7,3, ,autonomous,0,1,0,3.8878461891,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,3.7,4.17,351.1605857359, ,0, ,0,85,0.29,0.8,rainy,3.3063583815,0,0.5904296325,3.2910567358
8,3, ,autonomous,0,1,0,3.6900892653,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,3.46,3.85,359.2986490371, ,0, ,0,85,-0.28,0.8,rainy,3.3063583815,0,0.432454122,3.0812240059
9,3, ,autonomous,0,1,0,3.4923323415,1,0,-0.3129654139,20,0,20,-0.3129654139,1,7.8763773234,3.43,3.82,327.8473542719, ,0, ,0,82,-0.03,0.8,rainy,3.3063583815,0,0.3047218877,2.9333446184
10,3, ,autonomous,0,1,0,3.4373998627,1,0,-0.2091058256,20,0,20,-0.2091058256,1,8.2316245441,3.59,4.06,316.7865175658, ,0, ,0,88,0.2,0.8,rainy,3.3063583815,0,0.202020362,2.7922895361
11,3,obstacle alarm,autonomous,0,1,0,3.5555046921,1,0,-0.1432081844,20,0,20,-0.1432081844,1,8.5492553782,3.47,3.82,317.2387538862, ,0,false alarm,38.4611968994,93,-0.18,0.8,rainy,3.3063583815,0,0.1441647193,2.6824003904
12,3,obstacle alarm,autonomous,0,1,0,3.5472648203,1,0,-0.094500822,20,0,20,-0.094500822,1,8.8657202164,3.9,4.18,330.7753373908, ,0,false alarm,30.0436019897,90,0.395,0.8,rainy,3.3063583815,0,0.0962861164,2.5615190531
13,3,obstacle alarm,autonomous,0,1,0,3.4016937514,1,0,-0.0607624024,20,0,20,-0.0607624024,1,9.1813648794,3.43,3.7,345.8771444383, ,0,false alarm,21.3955116272,90,-0.475,0.8,rainy,3.3063583815,0,0.0615464914,2.4602468333
14,3, ,autonomous,0,1,0,3.4016937514,1,0,-0.0429562836,20,0,20,-0.0429562836,1,9.6906158377,3.54,3.8,329.6304842272, ,0, ,0,96,0.105,0.8,rainy,3.3063583815,0,0.0386472475,2.1540683716
15,3, ,autonomous,0,1,0,3.4016937514,1,0,-0.0213437161,20,0,20,-0.0213437161,1,10.0182550428,3.58,3.89,323.2375472735, ,0, ,0,88,0.065,0.8,rainy,3.3063583815,0,0.0222803619,2.0082797256
16,3, ,autonomous,0,1,0,3.4016937514,1,0,-0.0206823721,20,0,20,-0.0185846281,1,10.2969433626,3.44,3.72,339.7085300812, ,0, ,0,79,-0.155,0.8,rainy,3.3063583815,0,0.0272459907,1.9406393281
17,3, ,autonomous,0,1,0,3.4016937514,1,0,-0.0073685071,20,0,20,-0.0073685071,1,10.5739091609,3.36,3.74,351.3456538543, ,0, ,0,85,-0.03,0.8,rainy,3.3063583815,0,0.0107056622,1.873507973
