TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.24,3.31,132.8197635808, ,0, ,,0,0,0,2.3611111111,0
1,3, ,autonomous,0,1,0,-0.1963836118,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,3.33,3.31,132.9150938381, ,0, ,,0,0.045,0,2.3611111111,0
2,3, ,autonomous,0,1,0,-0.1963836118,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,3.11,3.11,133.5862566459, ,0, ,,0,-0.21,0,2.3611111111,0
3,3, ,autonomous,0,1,0,-0.1963836118,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,3.08,3.1,134.2642320086, ,0, ,,0,-0.02,0,2.3611111111,0
4,3, ,autonomous,0,1,0,-0.1963836118,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,3.07,3.18,134.8508549544, ,0, ,,0,0.035,0,2.3611111111,0
5,3, ,autonomous,0,1,0,-0.1963836118,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,5,5,135.0475367329, ,0, ,,0,1.875,0,2.3611111111,0
6,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,2.9,2.96,134.7527287428, ,0, ,,0,-2.07,0,2.3611111111,0
7,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,3.16,3.16,135.2447930755, ,0, ,,0,0.23,0,2.3611111111,0
8,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,5,2.99,136.0396147358, ,0, ,,0,0.835,0,2.3611111111,0
9,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8946525755,3.17,3.22,136.9450302649, ,0, ,,0,-0.8,0,2.3611111111,0
10,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.2091058256,20,0,20,-0.2091058256,1,8.2316245441,3.34,3.39,137.5553660348, ,0, ,,0,0.17,0,2.3611111111,0
11,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.1432081844,20,0,20,-0.1432081844,1,8.5492553782,3.41,3.47,137.5553660348, ,0, ,,0,0.075,0,2.3611111111,0
12,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.094500822,20,0,20,-0.094500822,1,8.8657202164,3.63,3.66,136.6418889375, ,0, ,,0,0.205,0,2.3611111111,0
13,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0607624024,20,0,20,-0.0607624024,1,9.1813648794,3.55,3.68,137.1478728365, ,0, ,,0,-0.03,0,2.3611111111,0
14,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0429562836,20,0,20,-0.0429562836,1,9.6906158377,3.26,3.28,137.7600220416, ,0, ,,0,-0.345,0,2.3611111111,0
15,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0213437161,20,0,20,-0.0213437161,1,10.0182550428,5,3.28,138.2743362832, ,0, ,,0,0.87,0,2.3611111111,0
16,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0206823721,20,0,20,-0.0206823721,1,10.3108668157,3.43,3.5,138.896605367, ,0, ,,0,-0.675,0,2.3611111111,0
17,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0073685071,20,0,20,-0.0073685071,1,10.5739091609,3.48,3.59,139.5245005023, ,0, ,,0,0.07,0,2.3611111111,0
18,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0082435262,20,0,20,-0.0082435262,1,10.8097219419,3.7,3.8,140.1580983349, ,0, ,,0,0.215,0,2.3611111111,0
19,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0070854636,20,0,20,-0.0070854636,1,11.0239140802,3.8,3.95,140.9046075807, ,0, ,,0,0.125,0,2.3611111111,0
20,3, ,autonomous,0,1,0,-0.1963836118,1,0,0.000956535,20,0,20,0.000956535,1,11.2316557686,3.78,3.92,140.6905090183, ,0, ,,0,-0.025,0,2.3611111111,0
21,3, ,autonomous,0,1,0,-0.1963836118,1,0,0.0014617268,20,0,20,0.0014617268,1,11.4374756587,4.2,3.67,140.5837035371, ,0, ,,0,0.085,0,2.3611111111,0
22,3, ,autonomous,0,1,0,-0.1963836118,1,0,0.000784089,20,0,20,0.000784089,1,11.6416117127,3.72,3.91,140.7974769092, ,0, ,,0,-0.12,0,2.3611111111,0
23,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0043090361,20,0,20,-0.0043090361,1,11.8446842093,5,2.91,141.5508309034, ,0, ,,0,0.14,0,2.3611111111,0
24,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0017874284,20,0,20,-0.0017874284,1,12.0466863685,3.23,3.36,142.2030090157, ,0, ,,0,-0.66,0,2.3611111111,0
25,3, ,autonomous,0,1,0,-0.1963836118,1,0,0.0060314047,20,0,20,0.0060314047,1,12.2476024625,3.45,3.6,142.7510991835, ,0, ,,0,0.23,0,2.3611111111,0
26,3, ,autonomous,0,1,0,-0.1963836118,1,0,0.0033371552,20,0,20,0.0033371552,1,12.4474171339,3.68,3.81,143.1926227161, ,0, ,,0,0.22,0,2.3611111111,0
27,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0001447546,20,0,20,-0.0001447546,1,12.6461154691,3.77,3.89,143.8600529405, ,0, ,,0,0.085,0,2.3611111111,0
28,3, ,autonomous,0,1,0,-0.1963836118,1,0,-0.0005960473,20,0,20,-0.0005960473,1,12.873518519,3.54,3.61,144.3084737936, ,0, ,,0,-0.255,0,2.3611111111,0
29,3, ,autonomous,0,1,0,-0.1963836118,1,0,0.0017746464,20,0,20,0.0017746464,1,13.2096546434,3.04,3.08,144.5337341736, ,0, ,,0,-0.515,0,2.3611111111,0
30,3, ,autonomous,0,1,0,-0.1963836118,1,0,0.0088870322,20,0,20,0.0088870322,1,13.4327449667,2.77,2.94,144.872946426, ,0, ,,0,-0.205,0,2.3611111111,0
31,3, ,autonomous,0,1,0,-0.1963836118,1,0,107.9451255895,20,0,20,107.9451255895,1,13.640535639,3.38,3.47,144.7596988998, ,0, ,,0,0.57,0,2.3611111111,0
32,3, ,autonomous,0,1,0,-0.1963836118,1,0,15.1436635265,20,0,20,15.1436635265,1,13.8353289971,3.39,3.52,145.099973882, ,0, ,,0,0.03,0,2.3611111111,0
33,3, ,autonomous,0,1,0,-0.1689173724,1,0,21.8694430578,20,0,20,21.8694430578,1,14.0199493114,3.09,3.26,145.4418523474, ,0, ,,0,-0.28,0,2.3611111111,0
34,3, ,autonomous,0,1,0,-0.1689173724,1,0,2.3158984243,20,0,20,2.3158984243,1,14.1940165901,3,3.17,145.099973882, ,0, ,,0,-0.09,0,2.3611111111,0
35,3, ,autonomous,0,1,0,-0.1689173724,1,0,13.1497267016,20,0,20,13.1497267016,1,14.3584830171,2.91,3.07,145.3277139951, ,0, ,,0,-0.095,0,2.3611111111,0
36,3, ,autonomous,0,1,0,-0.1689173724,1,0,16.321091065,20,0,20,16.321091065,1,14.5137146183,3.04,3.14,145.9002042603, ,0, ,,0,0.1,0,2.3611111111,0
37,3, ,autonomous,0,1,0,-0.1689173724,1,0,43.7396900994,20,0,20,43.7396900994,1,14.6609283483,3.44,3.45,146.4772227919,cyclist detected,28.7043857574,cyclist detected,cyclist detected,26.1210231781,0.355,0,2.3611111111,0
38,3, ,autonomous,0,1,0,-0.1689173724,1,0,3.7851142032,20,0,20,3.7851142032,1,14.8017993561,3.6,3.54,146.9421341876, ,0,cyclist detected,,11.1310529709,0.125,0,2.3611111111,0
39,3, ,autonomous,0,1,0,-0.1689173724,1,0,-24.4843053818,20,0,20,-24.4843053818,1,14.9367826378,3.48,3.5,147.4100061912, ,0, ,,0,-0.08,0,2.3611111111,0
40,3, ,autonomous,0,1,0,-0.1689173724,1,0,-104.001347944,20,0,20,-104.001347944,1,15.0656843179,3.59,3.69,148.4736904621, ,0, ,,0,0.15,0,2.3611111111,0
41,3, ,autonomous,0,1,0,-0.1139848936,1,0,-85.4552011458,20,0,20,-85.4552011458,1,15.1880451416,3.52,3.76,146.0152439915, ,0, ,,0,0,0,2.3611111111,0
42,2, ,autonomous,0,1,0,1.1165026322,1,0,-45.144999633,20,0,20,-45.144999633,1,15.3040009383,3.16,3.27,141.3347655256, ,0, ,,0,-0.425,0,2.3611111111,-1
43,2, ,autonomous,0,1,0,1.1165026322,1,0,-30.658434845,20,0,20,-30.658434845,1,15.4140583904,3.03,3.12,138.3776603105, ,0, ,,0,-0.14,0,2.3611111111,0
44,2, ,autonomous,0,1,0,1.1165026322,1,0,-23.5763744761,20,0,20,-23.5763744761,1,15.5181835965,3.04,3.08,139.105274872, ,0, ,,0,-0.015,0,2.3611111111,0
45,2, ,autonomous,0,1,0,1.1165026322,1,0,-15.0635929565,20,0,20,-15.0635929565,1,15.6165686067,2.96,3.07,138.0681504391, ,0, ,,0,-0.045,0,2.3611111111,0
46,2, ,autonomous,0,1,0,1.1165026322,1,0,-17.1986088592,15,0,15,-17.1986088592,1,15.6796695742,2.98,3.08,139.7350623218, ,0, ,,0,0.015,0,2.3611111111,0
47,2, ,autonomous,0,1,0,1.1165026322,1,0,-12.9099337398,20,0,20,-12.9099337398,1,15.635232094,3,3.1,140.2642578618, ,0, ,,0,0.02,0,2.3611111111,0
48,2, ,autonomous,0,1,0,1.1165026322,1,0,-6.4671809658,15,0,15,-6.4671809658,1,15.6724562669,3.25,3.23,142.3122900894, ,0, ,,0,0.19,0,2.3611111111,0
49,2, ,autonomous,0,1,0,1.1165026322,1,0,-7.0361459677,20,0,20,-7.0361459677,1,15.6344111415,3.29,3.31,142.8612246064, ,0, ,,0,0.06,0,2.3611111111,0
