TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.06,4.07,142.4217392543, ,0, ,0,88,0,1,rainy,2.5248618785,0,0.0306850032,7.8763772738
1,3, ,autonomous,0,1,0,0.9187457084,1,0,-24.6985127647,20,0,20,-24.6985127647,1,1.1007384606,3.62,5,143.3034306841, ,0, ,0,89,0.245,1,rainy,2.5248618785,0,24.719440608,7.1308860618
2,3, ,autonomous,0,1,0,0.9187457084,1,0,-8.1940259742,20,0,20,-8.1940259742,1,2.9828283423,5,5,143.3034306841, ,0, ,0,88,0.69,1,rainy,2.5248618785,0,8.2097807415,5.5664270265
3,3, ,autonomous,0,1,0,0.9269855802,1,0,-0.3241896126,20,0,20,-0.3241896126,1,4.2726159201,5,4.43,134.3616478112, ,0, ,0,89,-0.285,1,rainy,2.5248618785,0,0.3388193645,4.5773001122
4,3, ,autonomous,0,1,0,1.8004119936,1,0,0.1271281114,20,0,20,0.1271281114,1,4.9220535046,3.26,3.73,132.3451561673, ,0, ,0,87,-1.22,1,rainy,2.5248618785,0,-0.1220355388,4.2593113733
5,3, ,autonomous,0,1,0,1.8004119936,1,0,0.1039187303,20,0,20,0.1039187303,1,5.5678532746,3.79,3.9,123.5177865613, ,0, ,0,91,0.35,1,rainy,2.5248618785,0,-0.1022019028,4.1227625625
6,3, ,autonomous,0,1,0,1.8992904555,1,0,0.0734936703,20,0,20,0.0734936703,1,6.4040629976,5,3.4,122.0524337255, ,0, ,0,89,0.355,1,rainy,2.5248618785,0,-0.0680497935,3.5987891929
7,3, ,autonomous,0,1,0,1.8992904555,1,0,0.0585973386,20,0,20,0.0585973386,1,7.0058864241,5,3.94,125.6123602562, ,0, ,0,89,0.27,1,rainy,2.5248618785,0,-0.0519368045,3.2910569384
8,3, ,autonomous,0,1,0,1.8992904555,1,0,0.041755587,20,0,20,0.041755587,1,7.4926850529,3.5,3.53,130.1134589362, ,0, ,0,90,-0.955,1,rainy,2.5248618785,0,-0.0363538452,3.0687578749
9,3, ,autonomous,0,1,0,1.8910505837,1,0,0.0306850032,20,0,20,0.0306850032,1,7.8763772738,5,4.12,131.7800853935, ,0, ,0,90,1.045,1,rainy,2.5248618785,0,-0.0307836273,2.9333446681
10,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0209278433,20,0,20,0.0209278433,1,8.2316245224,5,4.03,133.3938051917, ,0, ,0,90,-0.045,1,rainy,2.5248618785,0,-0.0149208082,2.7504323396
11,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0157547673,20,0,20,0.0157547673,1,8.5492553688,3.57,3.45,134.4592050772, ,0, ,0,91,-1.005,1,rainy,2.5248618785,0,-0.01792371,2.6824003998
12,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0146297518,20,0,20,0.0146297518,1,8.8499160323,3.96,5,135.5417604164, ,0, ,0,84,0.97,1,rainy,2.5248618785,0,-0.0132595528,2.5875596264
13,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0050925726,20,0,20,0.0050925726,1,9.1813648779,3.3,3.38,136.2397820163, ,0, ,0,88,-1.14,1,rainy,2.5248618785,0,-0.0037138586,2.4500653885
14,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0017168276,20,0,20,0.0017168276,1,9.6906158371,3.45,3.44,136.8438338168, ,0, ,0,83,0.105,1,rainy,2.5248618785,0,-0.0050984416,2.1540683721
15,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0054438768,20,0,20,0.0054438768,1,10.0028521905,3.39,3.26,135.7404642324, ,0, ,0,82,-0.12,1,rainy,2.5248618785,0,-0.0088680656,2.0337597346
16,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0066605341,20,0,20,0.0066605341,1,10.2969433625,5,5,136.440539213, ,0, ,0,84,1.675,1,rainy,2.5248618785,0,-0.007079653,1.9406393282
17,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0054017419,20,0,20,0.0054017419,1,10.5614429278,5,3.51,136.742786818, ,0, ,0,84,-0.745,1,rainy,2.5248618785,0,-0.0024988511,1.8859742061
18,3, ,autonomous,0,1,0,1.8635843442,1,0,-9.86241040494907E-05,20,0,20,-9.86241040494907E-05,1,10.8097219419,5,3.62,137.4532658896, ,0, ,0,84,0.055,1,rainy,2.5248618785,0,0.0025715102,1.8363935272
19,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0060070351,20,0,20,0.0060070351,1,10.982056862,3.33,3.5,137.8625785817, ,0, ,0,86,-0.895,1,rainy,2.5248618785,0,-0.0067733779,1.8676594363
20,3, ,autonomous,0,1,0,1.8635843442,1,0,-0.0021689426,20,0,20,-0.0021689426,1,11.2316557686,5,3.54,138.3776603105, ,0, ,0,82,0.855,1,rainy,2.5248618785,0,0.0004025286,1.5023135205
21,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0013701991,20,0,20,0.0013701991,1,11.4374756587,3.56,5,139.0008618053, ,0, ,0,84,0.01,1,rainy,2.5248618785,0,-0.0070144079,-2.2350213201
22,3, ,autonomous,0,1,0,1.8635843442,1,0,0.001378714,20,0,20,0.001378714,1,11.6314302664,5,3.48,139.7350623218, ,0, ,0,87,-0.04,1,rainy,2.5248618785,0,-0.0051382295,-8.7563191844
23,3, ,autonomous,0,1,0,1.8635843442,1,0,-0.0033816141,20,0,20,-0.0033816141,1,11.8446842093,4.06,3.89,140.2642578618, ,0, ,0,93,-0.265,1,rainy,2.5248618785,0,0.011429829,-11.8379919775
24,3, ,autonomous,0,1,0,1.8635843442,1,0,-0.0034241888,20,0,20,-0.0034241888,1,12.0366119251,3.82,3.76,137.3513171991, ,0, ,0,91,-0.185,1,rainy,2.5248618785,0,0.0060375571,-12.0360609797
25,3, ,autonomous,0,1,0,1.8635843442,1,0,-0.0004191189,20,0,20,-0.0004191189,1,12.2375826907,3.7,3.99,135.9397515021, ,0, ,0,84,0.055,1,rainy,2.5248618785,0,-0.0061865991,-12.237402588
