TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.06,4.07,142.4217392543, ,0, ,,0,0,1,2.5248618785,0
1,3, ,autonomous,0,1,0,0.9187457084,1,0,-24.6985127647,20,0,20,-24.6985127647,1,1.1007384606,3.62,5,143.3034306841, ,0, ,,0,0.245,1,2.5248618785,0
2,3, ,autonomous,0,1,0,0.9187457084,1,0,-8.1940259742,20,0,20,-8.1940259742,1,2.9828283423,5,5,143.3034306841, ,0, ,,0,0.69,1,2.5248618785,0
3,3, ,autonomous,0,1,0,0.9269855802,1,0,-0.3241896126,20,0,20,-0.3241896126,1,4.2726159201,5,4.43,134.3616478112, ,0, ,,0,-0.285,1,2.5248618785,0
4,3, ,autonomous,0,1,0,1.8004119936,1,0,0.1271281114,20,0,20,0.1271281114,1,4.9220535046,3.26,3.73,132.3451561673, ,0, ,,0,-1.22,1,2.5248618785,0
5,3, ,autonomous,0,1,0,1.8004119936,1,0,0.1039187303,20,0,20,0.1039187303,1,5.5678532746,3.79,3.9,123.5177865613, ,0, ,,0,0.35,1,2.5248618785,0
6,3, ,autonomous,0,1,0,1.8992904555,1,0,0.0734936703,20,0,20,0.0734936703,1,6.4040629976,5,3.4,122.0524337255, ,0, ,,0,0.355,1,2.5248618785,0
7,3, ,autonomous,0,1,0,1.8992904555,1,0,0.0585973386,20,0,20,0.0585973386,1,7.0058864241,5,3.94,125.6123602562, ,0, ,,0,0.27,1,2.5248618785,0
8,3, ,autonomous,0,1,0,1.8992904555,1,0,0.041755587,20,0,20,0.041755587,1,7.4926850529,3.5,3.53,130.1134589362, ,0, ,,0,-0.955,1,2.5248618785,0
9,3, ,autonomous,0,1,0,1.8910505837,1,0,0.0306850032,20,0,20,0.0306850032,1,7.8763772738,5,4.12,131.7800853935, ,0, ,,0,1.045,1,2.5248618785,0
10,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0209278433,20,0,20,0.0209278433,1,8.2316245224,5,4.03,133.3938051917, ,0, ,,0,-0.045,1,2.5248618785,0
11,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0157547673,20,0,20,0.0157547673,1,8.5492553688,3.57,3.45,134.4592050772, ,0, ,,0,-1.005,1,2.5248618785,0
12,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0146297518,20,0,20,0.0146297518,1,8.8499160323,3.96,5,135.5417604164, ,0, ,,0,0.97,1,2.5248618785,0
13,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0050925726,20,0,20,0.0050925726,1,9.1813648779,3.3,3.38,136.2397820163, ,0, ,,0,-1.14,1,2.5248618785,0
14,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0017168276,20,0,20,0.0017168276,1,9.6906158371,3.45,3.44,136.8438338168, ,0, ,,0,0.105,1,2.5248618785,0
15,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0054438768,20,0,20,0.0054438768,1,10.0028521905,3.39,3.26,135.7404642324, ,0, ,,0,-0.12,1,2.5248618785,0
16,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0066605341,20,0,20,0.0066605341,1,10.2969433625,5,5,136.440539213, ,0, ,,0,1.675,1,2.5248618785,0
17,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0054017419,20,0,20,0.0054017419,1,10.5614429278,5,3.51,136.742786818, ,0, ,,0,-0.745,1,2.5248618785,0
18,3, ,autonomous,0,1,0,1.8635843442,1,0,-9.86241040494907E-05,20,0,20,-9.86241040494907E-05,1,10.8097219419,5,3.62,137.4532658896, ,0, ,,0,0.055,1,2.5248618785,0
19,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0060070351,20,0,20,0.0060070351,1,10.982056862,3.33,3.5,137.8625785817, ,0, ,,0,-0.895,1,2.5248618785,0
20,3, ,autonomous,0,1,0,1.8635843442,1,0,-0.0021689426,20,0,20,-0.0021689426,1,11.2316557686,5,3.54,138.3776603105, ,0, ,,0,0.855,1,2.5248618785,0
21,3, ,autonomous,0,1,0,1.8635843442,1,0,0.0013701991,20,0,20,0.0013701991,1,11.4374756587,3.56,5,139.0008618053, ,0, ,,0,0.01,1,2.5248618785,0
22,3, ,autonomous,0,1,0,1.8635843442,1,0,0.001378714,20,0,20,0.001378714,1,11.6314302664,5,3.48,139.7350623218, ,0, ,,0,-0.04,1,2.5248618785,0
23,3, ,autonomous,0,1,0,1.8635843442,1,0,-0.0033816141,20,0,20,-0.0033816141,1,11.8446842093,4.06,3.89,140.2642578618, ,0, ,,0,-0.265,1,2.5248618785,0
24,3, ,autonomous,0,1,0,1.8635843442,1,0,-0.0034241888,20,0,20,-0.0034241888,1,12.0366119251,3.82,3.76,137.3513171991, ,0, ,,0,-0.185,1,2.5248618785,0
25,3, ,autonomous,0,1,0,1.8635843442,1,0,-0.0004191189,20,0,20,-0.0004191189,1,12.2375826907,3.7,3.99,135.9397515021, ,0, ,,0,0.055,1,2.5248618785,0
26,2, ,autonomous,0,1,0,1.8635843442,1,0,0.0029028908,20,0,20,0.0029028908,1,12.4474171339,3.82,3.98,136.0396147358, ,0, ,,0,0.055,1,2.5248618785,-1
27,2, ,autonomous,0,1,0,1.8635843442,1,0,0.0024728861,20,0,20,0.0024728861,1,12.6461154691,5,2.78,134.3616478112, ,0, ,,0,-0.01,1,2.5248618785,0
28,2, ,autonomous,0,1,0,1.8718242161,1,0,-0.0007663428,20,0,20,-0.0007663428,1,12.8497162984,5,5,129.748806311, ,0, ,,0,1.11,1,2.5248618785,0
29,2,pedestrian alarm,autonomous,0,1,0,1.8718242161,1,26.1863327026,-0.0017664141,0,26.1863327026,0,-0.0017664141,1,12.7339692891,5,5,132.6295127192,pedestrian detected,29.2268333435,pedestrian detected,pedestrian detected,26.7627334595,0,1,2.5248618785,0
30,2,pedestrian alarm,autonomous,0,1,0,1.8718242161,1,82.9941415787,-0.0056442089,0,82.9941415787,0,-0.0056442089,1,9.2024543386,5,5,132.7245699724,pedestrian detected,17.383890152,pedestrian detected,,15.4011716843,0,1,2.5248618785,0
31,2,pedestrian alarm,autonomous,0,1,0,1.8718242161,1,100,-0.0037595155,0,100,0,-0.0037595155,1,2.875111082,5,5,130.2049425796, ,0,pedestrian detected,,9.4481668472,0,1,2.5248618785,0
32,2,pedestrian alarm,autonomous,0,1,0,0,1,100,0.0080482149,0,100,0,0.0080482149,1,0.0066922317,5,5,133.0105610385, ,0,pedestrian detected,,9.0310192108,0,1,2.5248618785,0
33,2,pedestrian alarm,autonomous,0,1,0,0,1,100,0.0026133683,0,100,0,0.0026133683,1,0.0005509454,5,5,135.1460929265, ,0,pedestrian detected,,9.4150009155,0,1,2.5248618785,0
34,2,pedestrian alarm,autonomous,0,1,0,0,1,100,-0.006605718,0,100,0,-0.006605718,1,0.0001801027,5,5,135.9397515021, ,0,pedestrian detected,,9.9023609161,0,1,2.5248618785,0
35,2, ,autonomous,0,1,0,1.8718242161,1,0,0.0033495008,20,0,20,0.0033495008,1,0.4088353044,5,5,136.9450302649, ,0, ,,0,0,1,2.5248618785,0
36,2, ,autonomous,0,1,0,1.8718242161,1,0,0.0012806491,20,0,20,0.0012806491,1,2.1658270226,5,5,138.171166441, ,0, ,,0,0,1,2.5248618785,0
37,2, ,autonomous,0,1,0,1.8718242161,1,0,-0.0003194126,20,0,20,-0.0003194126,1,3.7688794249,5,5,138.7925052047, ,0, ,,0,0,1,2.5248618785,0
38,2, ,autonomous,0,1,0,1.8718242161,1,0,-64.6270440451,20,0,20,-64.6270440451,1,4.6488988258,4.37,5,139.6297020302, ,0, ,,0,-0.315,1,2.5248618785,0
39,2, ,autonomous,0,1,0,1.8718242161,1,0,98.6760979433,20,0,20,98.6760979433,1,5.1869567133,5,5,140.4770600961, ,0, ,,0,0.315,1,2.5248618785,0
40,2, ,autonomous,0,1,0,1.8718242161,1,0,75.6372376352,20,0,20,75.6372376352,1,6.0884166789,2.93,5,141.1193587536, ,0, ,,0,-1.035,1,2.5248618785,0
41,2, ,autonomous,0,1,0,1.8718242161,1,0,50.8197544167,20,0,20,50.8197544167,1,6.7559173866,3.41,5,141.767557912, ,0, ,,0,0.24,1,2.5248618785,0
42,2, ,autonomous,0,1,0,1.8718242161,1,0,36.0008548282,20,0,20,36.0008548282,1,7.2633665121,2.89,3.26,141.5508309034, ,0, ,,0,-1.13,1,2.5248618785,0
43,2, ,autonomous,0,1,0,1.8718242161,1,0,25.1591644764,20,0,20,25.1591644764,1,7.7260908285,5,5,142.2030090157, ,0, ,,0,1.925,1,2.5248618785,0
44,2, ,autonomous,0,1,0,1.8718242161,1,0,28.2072011616,20,0,20,28.2072011616,1,8.0874238175,5,2.81,142.7510991835, ,0, ,,0,-1.095,1,2.5248618785,0
45,2, ,autonomous,0,1,0,1.9267566949,1,0,32.2922847353,20,0,20,32.2922847353,1,8.4085185633,3.31,5,143.081985978, ,0, ,,0,0.25,1,2.5248618785,0
46,2, ,autonomous,0,1,0,1.9267566949,1,0,16.9446026605,20,0,20,16.9446026605,1,8.7252531602,3.05,3.47,143.5255619026, ,0, ,,0,-0.895,1,2.5248618785,0
47,2, ,autonomous,0,1,0,1.9267566949,1,0,2.2873295809,20,0,20,2.2873295809,1,9.0411010057,3.41,4.09,143.9718966858, ,0, ,,0,0.49,1,2.5248618785,0
48,2, ,autonomous,0,1,0,1.9267566949,1,0,6.7990053542,20,0,20,6.7990053542,1,9.5000257342,2.72,5,144.4210161463, ,0, ,,0,0.11,1,2.5248618785,0
49,2, ,autonomous,0,1,0,1.9267566949,1,0,12.5357841157,20,0,20,12.5357841157,1,9.8786458701,3.51,3.34,144.7596988998, ,0, ,,0,-0.435,1,2.5248618785,0
50,2, ,autonomous,0,1,0,1.9624628061,1,0,8.3793645993,20,0,20,8.3793645993,1,10.1841979984,3.72,3.37,144.9863712811, ,0, ,,0,0.12,1,2.5248618785,0
51,2, ,autonomous,0,1,0,2.8084229801,1,0,11.2693038648,20,0,20,11.2693038648,1,10.4604918723,5,3.47,144.872946426, ,0, ,,0,0.69,1,2.5248618785,0
