TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.92,4.78,244.875970321, ,0, ,0,73,0,0.8,rainy,2.2,0,-0.2182082276,7.894652551
1,3, ,autonomous,0,1,0,3.0611123827,1,0,-9.7667339893,20,0,20,-9.7667339893,1,1.1006729552,5.26,5.01,246.5969619254, ,0, ,0,71,0.285,0.8,rainy,2.2,0,9.618728065,7.1309515776
2,3, ,autonomous,0,1,0,3.0611123827,1,0,-3.9322145959,20,0,20,-3.9322145959,1,3.0641624658,5.07,4.79,248.2498386376, ,0, ,0,-1,-0.205,0.8,rainy,2.2,0,3.8373308471,5.4850929077
3,3, ,autonomous,0,1,0,3.0611123827,1,0,-1.3562236118,20,0,20,-1.3562236118,1,4.2726167323,5.07,4.88,220.4974422297, ,0, ,0,-1,0.045,0.8,rainy,2.2,0,1.2940816068,4.5931034823
4,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.9694154189,20,0,20,-0.9694154189,1,4.9220539774,5.13,4.9,195.2896144983, ,0, ,0,80,0.04,0.8,rainy,2.2,0,0.9239125581,4.2593109013
5,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.7636353653,20,0,20,-0.7636353653,1,5.5678535698,5.5,5.12,204.3401855409, ,0, ,0,86,0.295,0.8,rainy,2.2,0,0.7351976942,4.1227622676
6,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.587824435,20,0,20,-0.587824435,1,6.4040631807,5.05,4.77,213.2832828563, ,0, ,0,90,-0.4,0.8,rainy,2.2,0,0.5679731189,3.6141918619
7,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.4328645754,20,0,20,-0.4328645754,1,7.0058865239,5.26,5.02,218.0549498474, ,0, ,0,92,0.23,0.8,rainy,2.2,0,0.4241290085,3.3049802917
8,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.3109340456,20,0,20,-0.3109340456,1,7.4926851027,4.77,4.57,204.3401855409, ,0, ,0,90,-0.47,0.8,rainy,2.2,0,0.3049954186,3.0812240582
9,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.2182082276,20,0,20,-0.2182082276,1,7.894652551,5.34,5.3,207.7792553191, ,0, ,0,93,0.65,0.8,rainy,2.2,0,48.3383151972,2.915610164
10,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.1480059243,20,0,20,-0.1480059243,1,8.2316245327,5.49,5.14,216.778668979, ,0, ,0,83,-0.005,0.8,rainy,2.2,0,13.3770822758,2.7923947942
11,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.0948837488,20,0,20,-0.0948837488,1,8.5492553735,5.17,4.81,239.1657897254, ,0, ,0,87,-0.325,0.8,rainy,2.2,0,-12.4867114336,2.6824985807
12,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.062142005,20,0,20,-0.062142005,1,8.8657202146,4.9,4.66,243.1788337143, ,0, ,0,80,-0.21,0.8,rainy,2.2,0,19.8271893533,2.5717792918
13,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.0455028608,20,0,20,-0.0455028608,1,9.1813648787,4.9,4.67,245.5072179122, ,0, ,0,80,0.005,0.8,rainy,2.2,0,-5.2060431929,2.4602892117
14,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.028437671,20,0,20,-0.028437671,1,9.6906158375,5.65,5.1,247.4206398298, ,0, ,0,76,0.59,0.8,rainy,2.2,0,-5.298801702,2.1540745155
15,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.0198513162,20,0,20,-0.0198513162,1,10.0182550426,5.47,5.22,250.8654859264, ,0, ,0,87,-0.03,0.8,rainy,2.2,0,-2.1507927783,2.0284317092
16,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.0087355669,20,0,20,-0.0087355669,1,10.3108668156,5.1,4.86,254.1166903842, ,0, ,0,84,-0.365,0.8,rainy,2.2,0,-0.6632703157,1.9367356766
17,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.0059386269,20,0,20,-0.0059386269,1,10.5739091609,5.31,5.1,256.3642423155, ,0, ,0,84,0.225,0.8,rainy,2.2,0,-0.2444064381,1.8735079824
18,3,obstacle alarm,autonomous,0,1,0,3.0693522545,1,0,48.1201069696,20,0,20,48.1201069696,1,10.810262715,5.4,5.27,256.3642423155,obstacle detected,36.5770301819,obstacle detected,34.4168586731,79,0.13,0.8,rainy,2.2,0,-48.263374719,1.8358527585
19,3,obstacle alarm,autonomous,0,1,0,3.0693522545,1,0,13.2290763514,20,0,20,13.2290763514,1,11.024019327,5.11,5.05,242.119025713, ,0,obstacle detected,23.5568199158,77,-0.255,0.8,rainy,2.2,0,-13.3250313004,1.8494991936
20,3,obstacle alarm,autonomous,0,1,0,3.0693522545,1,0,-12.5815951824,20,0,20,-12.5815951824,1,11.2317539542,5.45,5.25,221.7442401934, ,0,obstacle detected,12.6068525314,81,0.27,0.8,rainy,2.2,0,12.5269903413,1.9779006895
21,3,obstacle alarm,autonomous,0,1,0,3.0693522545,1,0,19.7650473483,20,0,20,19.7650473483,1,11.4374995064,5.71,5.49,189.8830320523, ,0,obstacle detected,4.553668499,91,0.25,0.8,rainy,2.2,0,-19.7868556512,1.9952454603
22,3, ,autonomous,0,1,0,3.0693522545,1,0,-5.2515460537,20,0,20,-5.2515460537,1,11.6416540904,5.26,4.99,196.1168856639, ,0, ,0,85,-0.475,0.8,rainy,2.2,0,7.9899375412,1.9987135901
23,3, ,autonomous,0,1,0,3.0693522545,1,0,-5.3272393731,20,0,20,-5.3272393731,1,11.844690353,5.58,5.21,199.9280259107, ,0, ,0,-1,0.27,0.8,rainy,2.2,0,63.3990298397,1.9912926291
24,3, ,autonomous,0,1,0,3.0693522545,1,0,-2.1706440945,20,0,20,-2.1706440945,1,12.0466867519,4.83,4.72,196.7419532541, ,0, ,0,-1,-0.62,0.8,rainy,2.2,0,55.0496448561,1.9734556291
25,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.6720058827,20,0,20,-0.6720058827,1,12.2476024922,5.22,4.96,202.9962242702, ,0, ,0,-1,0.315,0.8,rainy,2.2,0,33.2900043867,1.9465025338
26,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.250345065,20,0,20,-0.250345065,1,12.4474171433,5.39,5.18,201.2315370065, ,0, ,0,82,0.195,0.8,rainy,2.2,0,25.4672037306,1.9110619157
27,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.1432677494,20,0,20,-0.1432677494,1,12.6461154735,5.52,5.36,205.0188617353, ,0, ,0,89,0.155,0.8,rainy,2.2,0,14.417751132,1.8675894593
28,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.095954949,20,0,20,-0.095954949,1,12.8735185205,5.72,5.45,212.7931225263, ,0, ,0,83,0.145,0.8,rainy,2.2,0,9.7218461965,1.7873622766
29,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.0546048411,20,0,20,-0.0546048411,1,13.2096546437,5.78,5.48,217.5426383571, ,0, ,0,82,0.045,0.8,rainy,2.2,0,11.9064135198,1.5921472013
30,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.0218083029,20,0,20,-0.0218083029,1,13.4327449667,5.78,5.54,221.1802176413, ,0, ,0,81,0.03,0.8,rainy,2.2,0,18.555465102,1.5040805239
