TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.55,3.61,1421.183305644, ,0, ,,0,0,1,4.6833333333,0
1,3, ,autonomous,0,1,0,52.6706340124,1,0,-4.0045845896,20,0,20,-4.0045845896,1,1.5083222001,3.51,3.6,1435.1279129509, ,0, ,,0,-0.025,1,4.6833333333,0
2,3, ,autonomous,0,1,0,52.6706340124,1,0,-2.3590704158,20,0,20,-2.3590704158,1,3.3674539858,3.62,3.65,1453.1888631093, ,0, ,,0,0.08,1,4.6833333333,0
3,3, ,autonomous,0,1,0,52.5085831998,1,0,-1.6456408935,20,0,20,-1.6456408935,1,4.4356462474,3.19,5,1467.7718401514, ,0, ,,0,0.46,1,4.6833333333,0
4,3, ,autonomous,0,1,0,53.0222018769,1,0,-1.3084235339,20,0,20,-1.3084235339,1,5.0195447413,3.8,3.84,1481.6491822186, ,0, ,,0,-0.275,1,4.6833333333,0
5,3, ,autonomous,0,1,0,53.2007324331,1,0,-1.0467723257,20,0,20,-1.0467723257,1,5.7808837387,3.44,3.38,1507.0940423668, ,0, ,,0,-0.41,1,4.6833333333,0
6,3, ,autonomous,0,1,0,52.6623941405,1,0,-0.7885064436,20,0,20,-0.7885064436,1,6.5353321532,3.75,3.89,1477.6575227249, ,0, ,,0,0.41,1,4.6833333333,0
7,3, ,autonomous,0,1,0,52.9590295262,1,0,-0.5809675332,20,0,20,-0.5809675332,1,7.1109652627,3.53,3.7,1396.754166797, ,0, ,,0,-0.205,1,4.6833333333,0
8,3, ,autonomous,0,1,0,53.0304417487,1,0,-0.4088664733,20,0,20,-0.4088664733,1,7.5797555852,3.92,4.05,1414.7681421378, ,0, ,,0,0.37,1,4.6833333333,0
9,3, ,autonomous,0,1,0,53.0386816205,1,0,-0.2877589388,20,0,20,-0.2877589388,1,7.9661204613,3.9,3.92,1450.3069719737, ,0, ,,0,-0.075,1,4.6833333333,0
10,4, ,autonomous,0,1,0,52.5360494392,1,0,-0.1932720835,20,0,20,-0.1932720835,1,8.2953940426,5,3.4,1467.7718401514, ,0, ,,0,0.29,1,4.6833333333,1
11,4, ,autonomous,0,1,0,53.1485465782,1,0,-0.1310793354,20,0,20,-0.1310793354,1,8.6126120218,3.5,3.61,1451.2663314628, ,0, ,,0,-0.645,1,4.6833333333,0
12,4, ,autonomous,0,1,0,53.1924925612,1,0,-0.0818895167,20,0,20,-0.0818895167,1,8.9289164062,3.5,3.64,1465.8105551259, ,0, ,,0,0.015,1,4.6833333333,0
13,5, ,autonomous,0,1,0,52.3547722591,1,0,-0.0553459104,20,0,20,-0.0553459104,1,9.2818231108,3.44,3.61,1387.0406572132, ,0, ,,0,-0.045,1,4.6833333333,1
14,5, ,autonomous,0,1,0,52.5909819181,1,0,-0.0350250239,20,0,20,-0.0350250239,1,9.7442027208,3.49,3.51,1388.7966882199, ,0, ,,0,-0.025,1,4.6833333333,0
15,5, ,autonomous,0,1,0,52.5717555505,1,0,-0.0205316823,20,0,20,-0.0205316823,1,10.0791232877,3.42,3.6,1412.0364813745, ,0, ,,0,0.01,1,4.6833333333,0
16,5, ,autonomous,0,1,0,44.2000457771,1,0,-0.0074828253,20,0,20,-0.0074828253,1,10.3658418454,3.38,3.52,1470.7236283811, ,0, ,,0,-0.06,1,4.6833333333,0
17,5, ,autonomous,0,1,0,51.9784847791,1,0,-0.0077575219,20,0,20,-0.0077575219,1,10.62311958,3.38,3.47,1462.8784356797, ,0, ,,0,-0.025,1,4.6833333333,0
18,5, ,autonomous,0,1,0,51.9784847791,1,0,-0.0060291164,20,0,20,-0.0060291164,1,10.8539735845,3.31,3.47,1469.7383806893, ,0, ,,0,-0.035,1,4.6833333333,0
19,5, ,autonomous,0,1,0,51.9592584115,1,0,-0.0060666264,20,0,20,-0.0060666264,1,11.0656140525,3.4,3.49,1470.7236283811, ,0, ,,0,0.055,1,4.6833333333,0
20,5, ,autonomous,0,1,0,51.9510185397,1,0,-0.0098294119,20,0,20,-0.0098294119,1,11.2730451034,3.4,3.46,1480.649246927, ,0, ,,0,-0.015,1,4.6833333333,0
21,5, ,autonomous,0,1,0,52.7612726024,1,0,0.0003420226,20,0,20,0.0003420226,1,11.4783905322,3.35,3.48,1408.410633951, ,0, ,,0,-0.015,1,4.6833333333,0
