TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.41,3.21,243.2675700002, ,0, ,0,90,0,0.8,sunny,3,0,-0.204813878,7.8946525492
1,3, ,autonomous,0,1,0,0.1002517739,1,0,-10.7340295847,20,0,20,-10.7340295847,1,0.8212723369,5,5,245.6881725714, ,0, ,0,91,1.69,0.8,sunny,3,0,10.591242434,7.4103521953
2,3, ,autonomous,0,1,0,0.1002517739,1,0,-4.655659314,20,0,20,-4.655659314,1,2.8991023461,3.78,3.58,247.7884877469, ,0, ,0,87,-1.32,0.8,sunny,3,0,4.5646570879,5.650153027
3,3, ,autonomous,0,1,0,0.1002517739,1,0,-1.3147352181,20,0,20,-1.3147352181,1,4.2726166889,3.53,3.37,249.5508085446, ,0, ,0,84,-0.23,0.8,sunny,3,0,1.2521150442,4.5931035253
4,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.9262202598,20,0,20,-0.9262202598,1,4.9220539378,3.54,3.32,251.1490067057, ,0, ,0,88,-0.02,0.8,sunny,3,0,0.8860330567,4.2593109408
5,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.7359402897,20,0,20,-0.7359402897,1,5.5678535433,3.48,3.31,252.6720064684, ,0, ,0,91,-0.035,0.8,sunny,3,0,0.7092362307,4.0851227733
6,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.5620410412,20,0,20,-0.5620410412,1,6.4040631655,3.44,3.35,254.3105640608, ,0, ,0,92,0,0.8,sunny,3,0,0.5419286152,3.6141918772
7,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.4155397219,20,0,20,-0.4155397219,1,7.005886515,3.97,3.71,256.3642423155, ,0, ,0,91,0.445,0.8,sunny,3,0,34.2791727415,3.3054553098
8,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.2989820169,20,0,20,-0.2989820169,1,7.4926850985,5,5,259.4572155052, ,0, ,0,92,1.16,0.8,sunny,3,0,-10.4038536025,3.0812250901
9,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.204813878,20,0,20,-0.204813878,1,7.8946525492,3.64,3.51,261.3900724051, ,0, ,0,-1,-1.425,0.8,sunny,3,0,-59.9702841524,2.9150707087
10,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.1427871507,20,0,20,-0.1427871507,1,8.2316245322,3.75,3.69,262.2125494926, ,0, ,0,-1,0.145,0.8,sunny,3,0,3.2337609345,2.7923643011
11,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.0910022261,20,0,20,-0.0910022261,1,8.5492553731,3.64,3.51,263.560170787, ,0, ,0,-1,-0.145,0.8,sunny,3,0,3.3643440749,2.6824007455
12,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.0626201739,20,0,20,-0.0626201739,1,8.8657202142,3.4,3.3,265.5548769153, ,0, ,0,-1,-0.225,0.8,sunny,3,0,-0.5016274077,2.5717569307
13,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.0401872031,20,0,20,-0.0401872031,1,9.1813648785,3.46,3.34,267.3653815304, ,0, ,0,-1,0.05,0.8,sunny,3,0,-1.2031190153,2.4602474812
14,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.026704059,20,0,20,-0.026704059,1,9.6529763167,5,3.35,269.2007429941, ,0, ,0,73,0.775,0.8,sunny,3,0,-0.7447078986,2.1917080127
15,3,obstacle alarm,autonomous,0,1,0,0.1002517739,1,0,-0.020112426,20,0,20,-0.020112426,1,10.0182550426,3.3,3.17,267.3653815304, ,0,obstacle detected,38.6207008362,76,-0.94,0.8,sunny,3,0,-0.344916083,2.0284313461
16,3,obstacle alarm,autonomous,0,1,0,0.1002517739,1,0,33.8636330196,20,0,20,33.8636330196,1,10.3113418249,3.54,3.09,261.6978959489,obstacle detected,30.5063781738,obstacle detected,28.4618358612,75,0.08,0.8,sunny,3,0,-34.031890286,1.936260642
17,3,obstacle alarm,autonomous,0,1,0,0.1002517739,1,0,-10.7028356194,20,0,20,-10.7028356194,1,10.5739101886,3.58,3.35,263.3519435373, ,0,obstacle detected,18.1450004578,79,0.15,0.8,sunny,3,0,10.6205758316,1.8735069465
18,3,obstacle alarm,autonomous,0,1,0,0.1002517739,1,0,-60.1750980305,20,0,20,-60.1750980305,1,10.8097232579,3.61,3.57,266.616898179, ,0,obstacle detected,8.1165304184,80,0.125,0.8,sunny,3,0,60.1253707435,1.8363922115
19,3,obstacle alarm,autonomous,0,1,0,0.1002517739,1,0,3.0909737838,20,0,20,3.0909737838,1,11.0239888333,3.65,3.43,268.9835113108, ,0,obstacle detected,4.7869472504,82,-0.05,0.8,sunny,3,0,-3.1185141417,1.8495296858
20,3, ,autonomous,0,1,0,0.1002517739,1,0,3.2733418487,20,0,20,3.2733418487,1,11.2316561186,3.31,3.19,270.5115373171, ,0, ,0,80,-0.29,0.8,sunny,3,0,-3.2925087465,1.9779985248
21,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.5642475816,20,0,20,-0.5642475816,1,11.437477145,3.47,3.31,272.0570231521, ,0, ,0,86,0.14,0.8,sunny,3,0,0.5551449129,1.9952678217
22,3, ,autonomous,0,1,0,0.1002517739,1,0,-1.2433062184,20,0,20,-1.2433062184,1,11.6416123597,3.75,3.58,273.8450584659, ,0, ,0,82,0.275,0.8,sunny,3,0,114.9417338687,1.9989124106
23,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.7714119576,20,0,20,-0.7714119576,1,11.8446843294,3.86,3.45,275.6567522121, ,0, ,0,78,-0.01,0.8,sunny,3,0,11.7099304677,1.9906288623
