Invariant,Avg,Prior,Ratio,Avg Observations,Avg A Samples,S24, S10, S25, S8, S21, S9, S6, S16, S14, S23, S22, S26, S13, S12, S15, S7, S17, S11, S27
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ),0.05263,0.57327,0.09181,3.00000,0.09181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ),0.05263,0.57327,0.09181,3.00000,0.09181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.28952,0.57327,0.50504,13.00000,0.50504,0.0,0.0,0.0,0.0,0.0,0.0,0.66421,0.18491,1.0,0.0,0.14598,0.0,0.50583,1.0,0.0,1.0,0.0,0.0,1.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ),0.25160,0.57327,0.43889,9.00000,0.43889,0.0,1.0,1.0,0.26351,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51697,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ),0.05263,0.57327,0.09181,2.00000,0.09181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ),0.10526,0.57327,0.18362,4.00000,0.18362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Trust_Human=Trust_Human<0 ),0.35205,0.57327,0.61410,66.00000,0.61410,0.33477,0.0,0.61987,0.446,0.73071,0.16141,0.66421,0.47574,0.0,0.66421,0.0,0.0,0.0,0.0,1.0,0.34964,0.26295,0.72008,0.25927
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Trust_Human=Trust_Human==0 ),0.42913,0.57327,0.74857,860.00000,0.74857,0.24341,0.3992,0.41354,0.41289,0.40419,0.44703,0.54991,0.46974,0.64533,0.16027,0.59028,0.24227,0.44325,0.56532,0.42015,0.47373,0.41396,0.24665,0.6124
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | CurrentBrake_Machine=CurrentBrake_Machine>0 Trust_Human=Trust_Human>0 ),0.31849,0.57327,0.55556,147.00000,0.55556,0.64853,0.34619,0.28764,0.20269,0.23568,0.13918,0.10155,0.33109,0.40367,0.29183,0.42723,0.59658,0.16993,0.51242,0.28701,0.27746,0.27654,0.24332,0.27274
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ),0.54738,0.57327,0.95484,3181.00000,0.95484,0.51452,0.6559,0.59133,0.67738,0.55875,0.55564,0.65587,0.49781,0.59108,0.65677,0.38238,0.29153,0.35952,0.64933,0.51112,0.58177,0.59771,0.53569,0.53612
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ),0.53382,0.57327,0.93118,17400.00000,0.93118,0.49675,0.57925,0.56172,0.55152,0.55998,0.48298,0.52998,0.48931,0.53325,0.53076,0.49703,0.58997,0.54892,0.5418,0.50731,0.55456,0.54877,0.55367,0.48505
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ),0.47018,0.57327,0.82017,2123.00000,0.82017,0.49321,0.44708,0.53933,0.45913,0.39334,0.4622,0.49616,0.65457,0.35756,0.43914,0.30494,0.458,0.2434,0.56227,0.46632,0.50384,0.61739,0.59469,0.44085
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ),0.91996,0.57327,1.60477,181.00000,1.60477,0.8946,1.0,1.0,0.87176,1.0,0.9357,1.0,0.84483,1.0,1.0,1.0,0.70292,1.0,0.7592,1.0,0.715,1.0,0.75532,1.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ),0.90210,0.57327,1.57361,342.00000,1.57361,0.84699,0.95731,0.75491,0.95326,0.92162,1.0,0.66421,0.79726,0.95423,0.84063,0.91116,0.9604,0.96379,0.96926,1.0,0.96269,0.88224,0.90254,0.89744
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ),0.74107,0.57327,1.29270,108.00000,1.29270,1.0,1.0,0.86707,1.0,0.94762,1.0,0.74793,0.76054,0.65462,0.0,0.57761,0.0,0.0,1.0,0.88852,1.0,1.0,1.0,0.63638
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ),0.07201,0.57327,0.12561,5.00000,0.12561,0.15578,0.11078,0.0,0.0,0.10158,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ),0.06819,0.57327,0.11895,19.00000,0.11895,0.09538,0.12293,0.10268,0.10656,0.08295,0.0,0.15242,0.0,0.0,0.0,0.0,0.14457,0.16993,0.09961,0.0,0.10672,0.11183,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ),0.64933,0.57327,1.13267,96.00000,1.13267,0.775,0.6916,1.0,1.0,0.18442,0.6401,0.77587,0.53147,0.70319,0.0,0.53261,0.0,0.67183,1.0,0.64431,0.76335,0.89542,0.89168,0.63638
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ),0.73280,0.57327,1.27829,354.00000,1.27829,0.72093,0.80436,0.71724,0.72852,0.75462,0.61786,0.84063,0.73135,0.75202,0.76115,0.77369,0.75019,0.63505,0.74759,0.63247,0.75558,0.79394,0.68191,0.72415
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ),0.70748,0.57327,1.23412,138.00000,1.23412,0.81579,0.76324,0.84461,0.8513,0.77463,0.80167,0.56873,0.74679,0.73979,0.66421,0.40608,0.70292,0.75435,1.0,0.26594,0.57338,0.78929,0.67299,0.70644
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ),0.35877,0.57327,0.62584,76.00000,0.62584,0.34332,0.0,0.61987,0.46199,0.78346,0.18764,0.39736,0.53147,0.0,0.66421,0.1023,0.0,0.0,0.0,1.0,0.44642,0.26295,0.73888,0.27685
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.28091,0.57327,0.49001,290.00000,0.49001,0.15578,0.39661,0.3753,0.39985,0.33037,0.31882,0.38201,0.28001,0.1965,0.16514,0.22662,0.24636,0.31934,0.28155,0.17724,0.32067,0.35502,0.24722,0.1628
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ),0.22189,0.57327,0.38707,79.00000,0.38707,0.42465,0.27207,0.10777,0.1688,0.13342,0.13918,0.05349,0.13631,0.28884,0.21243,0.1319,0.54192,0.16993,0.39644,0.09803,0.26384,0.18656,0.24332,0.24707
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ),0.33764,0.57327,0.58897,19.00000,0.58897,1.0,0.6916,1.0,1.0,0.31141,0.0,0.33089,0.0,0.27487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33971,0.46668
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ),0.44861,0.57327,0.78254,128.00000,0.78254,0.42465,0.42776,0.52087,0.446,0.57569,0.50262,0.38201,0.43751,0.2622,0.54726,0.25477,0.60598,0.36252,0.51242,0.34105,0.51812,0.32727,0.5626,0.51221
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ),0.34647,0.57327,0.60438,25.00000,0.60438,0.42465,0.47286,0.2137,0.34925,0.11443,1.0,0.55283,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42015,0.51812,0.51697,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ),0.75843,0.57327,1.32300,5544.00000,1.32300,0.51617,1.0,0.90727,1.0,0.88404,0.71945,0.957,0.81748,0.75732,0.74217,0.73616,0.0,0.74316,0.81601,0.83117,0.82926,0.6994,0.70111,0.75308
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ),0.68490,0.57327,1.19472,943.00000,1.19472,0.54687,0.8968,0.49358,0.88254,0.93275,0.64136,0.88933,0.75522,0.54385,0.64966,0.79291,0.0,0.56574,0.67762,0.75298,0.86956,0.82056,0.64546,0.65627
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ),0.61882,0.57327,1.07945,96.00000,1.07945,1.0,0.0,0.0,0.0,0.0,0.5927,1.0,1.0,0.869,0.62241,0.73226,0.0,0.73787,1.0,1.0,1.0,0.51697,1.0,0.68629
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ),0.44802,0.57327,0.78152,24.00000,0.78152,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.51242,1.0,1.0,1.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ),0.24567,0.57327,0.42855,15.00000,0.42855,0.0,0.0,0.0,0.0,0.0,0.61786,0.0,0.0,0.21307,1.0,0.57761,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25927
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ),0.18258,0.57327,0.31848,9.00000,0.31848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78401,0.0,1.0,0.0,0.0,0.0,0.0,0.68492,1.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ),0.33194,0.57327,0.57903,61.00000,0.57903,0.26956,0.0,0.0,0.0,0.0,0.70805,0.0,0.47574,0.71648,0.66421,0.50632,0.0,0.41743,0.0,0.74348,0.51812,0.61618,0.0,0.67125
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ),0.42423,0.57327,0.74002,34.00000,0.74002,0.0,1.0,0.84461,0.0,0.0,0.44703,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42015,1.0,0.34859,0.0,1.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ),0.48525,0.57327,0.84647,66.00000,0.84647,0.0,0.0,0.68496,0.0,0.0,0.16813,0.85579,0.31211,1.0,0.1238,0.50632,0.0,0.53522,1.0,0.68492,1.0,0.34859,1.0,1.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ),0.32431,0.57327,0.56571,30.00000,0.56571,0.0,1.0,0.63496,0.30038,0.0,0.0,0.90818,0.47574,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.84255,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ),0.00000,0.57327,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ),0.47747,0.57327,0.83289,39.00000,0.83289,0.42465,0.0,0.0,0.0,1.0,0.80167,0.0,1.0,0.79126,0.24793,0.73226,0.0,0.63045,1.0,0.78369,0.0,0.26295,0.67299,0.72415
P(CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ),0.29453,0.57327,0.51378,12.00000,0.51378,0.59615,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.88379,0.91677,0.96403,2303.00000,0.96403,0.19679,0.92752,1.0,0.94841,0.93369,0.83632,0.93234,0.9514,0.90966,0.90073,0.87046,0.9221,0.9106,0.95474,0.8908,0.95803,0.9783,0.94295,0.82726
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.93262,0.91677,1.01729,14525.00000,1.01729,0.37539,0.97388,0.95444,0.96544,0.96953,0.96824,0.96089,0.96474,0.96408,0.95718,0.96717,0.96604,0.95862,0.96014,0.96326,0.95454,0.96248,0.95173,0.98195
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.89829,0.91677,0.97985,2180.00000,0.97985,0.19615,0.94139,0.91948,0.93355,0.93074,0.97998,0.92261,0.91447,0.97713,0.95946,0.95573,0.87813,0.97183,0.91871,0.91765,0.95263,0.93238,0.96434,0.90124
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.85843,0.91677,0.93637,3181.00000,0.93637,0.08256,0.93216,0.91777,0.87366,0.96167,0.86343,0.96663,0.95533,0.86485,0.871,0.89605,0.89171,0.86271,0.93698,0.92653,0.94154,0.84476,0.85079,0.87008
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.91759,0.91677,1.00089,17400.00000,1.00089,0.29216,0.96116,0.95694,0.95973,0.96214,0.9724,0.9594,0.95138,0.95244,0.94592,0.93933,0.94033,0.94529,0.93973,0.95418,0.93955,0.96424,0.94318,0.95471
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.85167,0.91677,0.92899,2123.00000,0.92899,0.2224,0.82052,0.89128,0.83586,0.8037,0.92042,0.8733,0.92095,0.93771,0.90356,0.93267,0.92788,0.87847,0.85992,0.88478,0.91198,0.8666,0.93912,0.85058
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.00000,0.91677,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.69835,0.91677,0.76175,1473.00000,0.76175,0.23552,0.0,0.0,0.0,1.0,0.89716,1.0,0.91628,0.90328,0.84144,0.91016,0.0,0.87662,1.0,0.95195,0.96139,0.88264,0.96727,0.92494
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.80920,0.91677,0.88266,347.00000,0.88266,0.20362,1.0,0.73153,0.33556,1.0,0.96579,0.8814,0.89963,1.0,0.93668,1.0,0.0,0.94208,0.75085,0.92686,1.0,0.85366,1.0,0.94706
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.00000,0.91677,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.80601,0.91677,0.87918,4985.00000,0.87918,0.39314,1.0,0.71507,0.0,0.99125,0.94416,0.80254,0.94308,0.95208,0.96165,0.93788,0.0,0.94118,0.96444,0.94633,0.96525,0.94664,0.95737,0.9521
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=manual CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.81205,0.91677,0.88578,893.00000,0.88578,0.50477,0.87044,0.58917,0.85836,0.88745,0.92795,0.74828,0.93964,0.94954,0.79777,1.0,0.0,1.0,0.70095,0.92744,0.92233,0.8299,1.0,0.97502
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.00000,0.91677,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.00000,0.91677,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(EventW_Machine=EventW_Machine==  | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.00000,0.91677,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
