TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.31,5,77.1200296141, ,0, ,,0,0,0,2.4888888889,0
1,3, ,autonomous,0,1,0,0.0260929274,1,0,32.3501154937,20,0,20,32.3501154937,1,1.0045739842,4.2,3.82,78.2607334596, ,0, ,,0,-0.645,0,2.4888888889,0
2,3, ,autonomous,0,1,0,0.0260929274,1,0,5.7432519953,20,0,20,5.7432519953,1,3.0641829747,4.04,3.81,78.3932519089, ,0, ,,0,-0.085,0,2.4888888889,0
3,3, ,autonomous,0,1,0,0.0370794232,1,0,-4.2016826098,20,0,20,-4.2016826098,1,4.2726225672,4.06,3.92,77.9970361126, ,0, ,,0,0.065,0,2.4888888889,0
4,3, ,autonomous,0,1,0,0.0370794232,1,0,-3.9910280429,20,0,20,-3.9910280429,1,4.9220615987,3.94,3.83,78.1616382679, ,0, ,,0,-0.105,0,2.4888888889,0
5,3, ,autonomous,0,1,0,0.0370794232,1,0,-3.1745730595,20,0,20,-3.1745730595,1,5.5678584277,3.94,3.79,78.9951812939, ,0, ,,0,-0.02,0,2.4888888889,0
6,3, ,autonomous,0,1,0,0.0370794232,1,0,-2.4323559048,20,0,20,-2.4323559048,1,6.4040661925,3.78,5,79.6749263007, ,0, ,,0,0.525,0,2.4888888889,0
7,3, ,autonomous,0,1,0,0.0370794232,1,0,-1.82506877,20,0,20,-1.82506877,1,6.9788913815,3.85,3.72,79.9501111307, ,0, ,,0,-0.605,0,2.4888888889,0
8,3, ,autonomous,0,1,0,0.0370794232,1,0,-1.2824978425,20,0,20,-1.2824978425,1,7.4926859207,3.22,3.11,80.2619750867, ,0, ,,0,-0.62,0,2.4888888889,0
9,3, ,autonomous,0,1,0,0.0370794232,1,0,-0.896288963,20,0,20,-0.896288963,1,7.8946529373,2.95,5,80.5412371134, ,0, ,,0,0.81,0,2.4888888889,0
