TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human,ModeDelta_H2M
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.19,4.66,184.9522823112, ,0, ,,0,0,0.8,3.0944444444,0,0
1,3, ,autonomous,0,1,0,-0.2403295949,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,4.07,4.38,186.6298383786, ,0, ,,0,-0.2,0.8,3.0944444444,0,0
2,3, ,autonomous,0,1,0,-0.2403295949,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,5,5,187.7652183709, ,0, ,,0,0.775,0.8,3.0944444444,0,0
3,3, ,autonomous,0,1,0,-0.2403295949,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,5,5,174.9903755293, ,0, ,,0,0,0.8,3.0944444444,0,0
4,3, ,autonomous,0,1,0,-0.2403295949,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,4.43,5.17,170.1664227615, ,0, ,,0,-0.2,0.8,3.0944444444,0,0
5,4,cyclist alarm,autonomous,0,1,0,-0.2403295949,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,5,5,174.6602857442, ,0,false alarm,false alarm,37.9906578064,0.2,0.8,3.0944444444,1,0
6,4,cyclist alarm,autonomous,0,1,0,-0.2403295949,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,3.18,5,178.0183002813, ,0,false alarm,,31.9278945923,-0.91,0.8,3.0944444444,0,0
7,4,cyclist alarm,autonomous,0,1,0,-0.2403295949,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,4.01,4.15,169.2333728211, ,0,false alarm,,25.5967979431,-0.01,0.8,3.0944444444,0,0
8,4,cyclist alarm,autonomous,0,1,0,-0.2403295949,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,5,4.45,153.1393568147, ,0,false alarm,,18.6075611115,0.645,0.8,3.0944444444,0,0
9,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8946525755,4.01,4.2,157.5696457834, ,0, ,,0,-0.62,0.8,3.0944444444,0,0
10,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.2091058256,20,0,20,-0.2091058256,1,8.2316245441,5,4.39,177.8473358469, ,0, ,,0,0.59,0.8,3.0944444444,0,0
11,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.1432081844,20,0,20,-0.1432081844,1,8.5492553782,5,5,177.1667493445, ,0, ,,0,0.305,0.8,3.0944444444,0,0
12,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.094500822,20,0,20,-0.094500822,1,8.8657202164,4.15,4.49,177.8473358469, ,0, ,,0,-0.68,0.8,3.0944444444,0,0
13,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0607624024,20,0,20,-0.0607624024,1,9.1813648794,3.96,4.43,177.50639023, ,0, ,,0,-0.125,0.8,3.0944444444,0,0
14,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0429562836,20,0,20,-0.0429562836,1,9.6906158377,4.44,4.88,169.8542650406, ,0, ,,0,0.465,0.8,3.0944444444,0,0
15,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0213437161,20,0,20,-0.0213437161,1,10.0182550428,4.5,5,173.3522865167, ,0, ,,0,0.09,0.8,3.0944444444,0,0
16,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0206823721,20,0,20,-0.0206823721,1,10.3108668157,3.99,4.48,177.50639023, ,0, ,,0,-0.515,0.8,3.0944444444,0,0
17,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0073685071,20,0,20,-0.0073685071,1,10.5739091609,3.59,4.41,180.9758216302, ,0, ,,0,-0.235,0.8,3.0944444444,0,0
18,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0082435262,20,0,20,-0.0082435262,1,10.8097219419,3.83,5,183.8505662597, ,0, ,,0,0.415,0.8,3.0944444444,0,0
19,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0070854636,20,0,20,-0.0070854636,1,11.0239140802,4.01,5,185.5081067043, ,0, ,,0,0.09,0.8,3.0944444444,0,0
20,4, ,autonomous,0,1,0,-0.2403295949,1,0,0.000956535,20,0,20,0.000956535,1,11.2316557686,3.46,4,187.0067696451, ,0, ,,0,-0.775,0.8,3.0944444444,0,0
21,4, ,autonomous,0,1,0,-0.2403295949,1,0,0.0014617268,20,0,20,0.0014617268,1,11.4374756587,3.79,4.16,188.9144972985, ,0, ,,0,0.245,0.8,3.0944444444,0,0
22,4, ,autonomous,0,1,0,-0.2403295949,1,0,0.000784089,20,0,20,0.000784089,1,11.6416117127,4.33,4.61,192.8491533922, ,0, ,,0,0.495,0.8,3.0944444444,0,0
23,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0043090361,20,0,20,-0.0043090361,1,11.8446842093,4.3,5,193.0501930502, ,0, ,,0,0.18,0.8,3.0944444444,0,0
24,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0017874284,20,0,20,-0.0017874284,1,12.0466863685,4.05,4.78,195.083886071, ,0, ,,0,-0.235,0.8,3.0944444444,0,0
25,4, ,autonomous,0,1,0,-0.2403295949,1,0,0.0060314047,20,0,20,0.0060314047,1,12.2476024625,4.44,5.2,195.7023758268, ,0, ,,0,0.405,0.8,3.0944444444,0,0
26,4, ,autonomous,0,1,0,-0.2403295949,1,0,0.0033371552,20,0,20,0.0033371552,1,12.4474171339,4.56,5.31,196.1168856639, ,0, ,,0,0.115,0.8,3.0944444444,0,0
27,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0001447546,20,0,20,-0.0001447546,1,12.6461154691,4.63,5,178.5331714633, ,0, ,,0,-0.12,0.8,3.0944444444,0,0
28,4, ,autonomous,0,1,0,-0.2403295949,1,0,-0.0005960473,20,0,20,-0.0005960473,1,12.873518519,4.93,5.47,170.4797299601, ,0, ,,0,0.385,0.8,3.0944444444,0,0
29,4, ,autonomous,0,1,0,-0.2403295949,1,0,0.0017746464,20,0,20,0.0017746464,1,13.2096546434,4.93,5.85,172.3840717118, ,0, ,,0,0.19,0.8,3.0944444444,0,0
30,4, ,autonomous,0,1,0,-0.2403295949,1,0,0.0088870322,20,0,20,0.0088870322,1,13.4327449667,4.92,5.69,154.5451735542, ,0, ,,0,-0.085,0.8,3.0944444444,0,0
31,4, ,autonomous,0,1,0,-0.232089723,1,0,107.9451255895,20,0,20,107.9451255895,1,13.640535639,5,5.71,148.9513822688, ,0, ,,0,0.05,0.8,3.0944444444,0,0
32,4, ,autonomous,0,1,0,-0.0590524147,1,0,15.1436635265,20,0,20,15.1436635265,1,13.8353289971,4.63,5.15,145.7853456571, ,0, ,,0,-0.465,0.8,3.0944444444,0,0
33,4, ,autonomous,0,1,0,-0.0590524147,1,0,21.8694430578,20,0,20,21.8694430578,1,14.0199493114,4.02,4.31,142.0938956462, ,0, ,,0,-0.725,0.8,3.0944444444,0,0
34,4, ,autonomous,0,1,0,-0.0590524147,1,0,2.3158984243,20,0,20,2.3158984243,1,14.1940165901,3.84,4.53,174.1674794482, ,0, ,,0,0.02,0.8,3.0944444444,0,0
35,4, ,autonomous,0,1,0,-0.0590524147,1,0,13.1497267016,20,0,20,13.1497267016,1,14.3584830171,4.36,4.88,157.4356875216, ,0, ,,0,0.435,0.8,3.0944444444,0,0
36,4, ,autonomous,0,1,0,-0.0590524147,1,0,16.321091065,20,0,20,16.321091065,1,14.5137146183,4.74,5.3,168.7706744076, ,0, ,,0,0.4,0.8,3.0944444444,0,0
37,4,cyclist alarm,autonomous,0,1,0,-0.0590524147,1,0,43.7396900994,20,0,20,43.7396900994,1,14.6609283483,4.7,5.48,174.6602857442,cyclist detected,28.7043857574,cyclist detected,cyclist detected,26.1210231781,0.07,0.8,3.0944444444,0,0
38,4,cyclist alarm,autonomous,0,1,0,-0.0590524147,1,0,3.7851142032,20,0,20,3.7851142032,1,14.8017993561,3.87,5,170.6368165995, ,0,cyclist detected,,11.1310529709,-0.655,0.8,3.0944444444,0,0
39,4, ,autonomous,0,1,0,-0.0590524147,1,0,-24.4843053818,20,0,20,-24.4843053818,1,14.9367826378,4.27,4.85,168.0051073553, ,0, ,,0,0.125,0.8,3.0944444444,0,0
40,4, ,autonomous,0,1,0,-0.0590524147,1,0,-104.001347944,20,0,20,-104.001347944,1,15.0656843179,4.22,5.09,168.6170033386, ,0, ,,0,0.095,0.8,3.0944444444,0,0
41,4, ,autonomous,0,1,0,-0.0590524147,1,0,-85.4552011458,20,0,20,-85.4552011458,1,15.1880451416,5,5,174.0038280842, ,0, ,,0,0.345,0.8,3.0944444444,0,0
42,3, ,autonomous,0,1,0,-0.0590524147,1,0,-45.144999633,20,0,20,-45.144999633,1,15.3040009383,4.29,4.27,164.7175094713, ,0, ,,0,-0.72,0.8,3.0944444444,-1,0
43,3, ,autonomous,0,1,0,-0.0590524147,1,0,-30.658434845,20,0,20,-30.658434845,1,15.4140583904,4.06,5,167.0955452328, ,0, ,,0,0.25,0.8,3.0944444444,0,0
44,3, ,autonomous,0,1,0,-0.0590524147,1,0,-23.5763744761,20,0,20,-23.5763744761,1,15.5181835965,4.34,4.67,174.1674794482, ,0, ,,0,-0.025,0.8,3.0944444444,0,0
45,3, ,autonomous,0,1,0,-0.0590524147,1,0,-15.0635929565,20,0,20,-15.0635929565,1,15.6165686067,3.98,4.43,171.7445814585, ,0, ,,0,-0.3,0.8,3.0944444444,0,0
46,3, ,autonomous,0,1,0,-0.0590524147,1,0,-17.1986088592,15,0,15,-17.1986088592,1,15.6796695742,4.11,4.46,173.6774462468, ,0, ,,0,0.08,0.8,3.0944444444,0,0
47,3, ,autonomous,0,1,0,-0.0590524147,1,0,-12.9099337398,20,0,20,-12.9099337398,1,15.635232094,4.18,4.43,174.4957074056, ,0, ,,0,0.02,0.8,3.0944444444,0,0
48,3, ,autonomous,0,1,0,-0.0590524147,1,0,-6.4671809658,15,0,15,-6.4671809658,1,15.6724562669,4.34,4.63,174.9903755293, ,0, ,,0,0.18,0.8,3.0944444444,0,0
49,3, ,autonomous,0,1,0,-0.0590524147,1,0,-7.0361459677,20,0,20,-7.0361459677,1,15.6344111415,4.19,4.63,174.8251748252, ,0, ,,0,-0.075,0.8,3.0944444444,0,0
50,3,truck alarm,autonomous,0,1,0,-0.0590524147,1,0,-6.7945400479,15,0,15,-6.7945400479,1,15.6710657704,4,4.88,173.1901627988,truck detected,39.9605331421,truck detected,truck detected,33.8245544434,0.03,0.8,3.0944444444,0,0
51,3,truck alarm,autonomous,0,1,0,-0.0590524147,1,0,-2.4598031377,20,0,20,-2.4598031377,1,15.6367081766,5,5,177.1667493445, ,0,truck detected,,4.3726873398,0.56,0.8,3.0944444444,0,0
