TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human,ModeDelta_H2M
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.85,4.19,371.0988236167, ,0, ,,0,0,0.8,3.3063583815,0,0
1,3, ,autonomous,0,1,0,3.8960860609,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,3.42,3.82,346.4163231371, ,0, ,,0,-0.4,0.8,3.3063583815,0,0
2,3, ,autonomous,0,1,0,3.8960860609,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,3.62,4.09,335.7732858774, ,0, ,,0,0.235,0.8,3.3063583815,0,0
3,3, ,autonomous,0,1,0,3.8878461891,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,3.62,3.96,345.5186234538, ,0, ,,0,-0.065,0.8,3.3063583815,0,0
4,3, ,autonomous,0,1,0,3.8878461891,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,3.53,3.85,334.9298322002, ,0, ,,0,-0.1,0.8,3.3063583815,0,0
5,3, ,autonomous,0,1,0,3.8878461891,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,3.54,3.97,325.4466755622, ,0, ,,0,0.065,0.8,3.3063583815,0,0
6,3, ,autonomous,0,1,0,3.8878461891,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,3.47,3.82,341.62339437, ,0, ,,0,-0.11,0.8,3.3063583815,0,0
7,3, ,autonomous,0,1,0,3.8878461891,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,3.7,4.17,351.1605857359, ,0, ,,0,0.29,0.8,3.3063583815,0,0
8,3, ,autonomous,0,1,0,3.6900892653,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,3.46,3.85,359.2986490371, ,0, ,,0,-0.28,0.8,3.3063583815,0,0
9,3, ,autonomous,0,1,0,3.4923323415,1,0,-0.3129654139,20,0,20,-0.3129654139,1,7.8763773234,3.43,3.82,327.8473542719, ,0, ,,0,-0.03,0.8,3.3063583815,0,0
