TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,5,3,212.3052099699, ,0, ,,0,0,1,2.1206896552,0
1,3, ,autonomous,0,1,0,-4.217441062,1,0,30.8731911156,20,0,20,30.8731911156,1,1.0045647294,3.93,3.89,200.3606491685, ,0, ,,0,-0.09,1,2.1206896552,0
2,3, ,autonomous,0,1,0,-4.1817349508,1,0,5.4046008195,20,0,20,5.4046008195,1,3.0641800455,3.61,3.51,199.0683600749, ,0, ,,0,-0.35,1,2.1206896552,0
3,3, ,autonomous,0,1,0,-4.1652552071,1,0,-4.1016302319,20,0,20,-4.1016302319,1,4.2726222637,3.96,3.88,197.5816012013, ,0, ,,0,0.36,1,2.1206896552,0
4,3, ,autonomous,0,1,0,-4.1652552071,1,0,-3.8845297061,20,0,20,-3.8845297061,1,4.9220611735,4,3.9,198.6412935521, ,0, ,,0,0.03,1,2.1206896552,0
5,3, ,autonomous,0,1,0,-4.1652552071,1,0,-3.0916931281,20,0,20,-3.0916931281,1,5.5678581574,3.86,3.91,182.043253477, ,0, ,,0,-0.065,1,2.1206896552,0
6,3, ,autonomous,0,1,0,-4.1652552071,1,0,-2.3687031344,20,0,20,-2.3687031344,1,6.4040660256,4.2,4.16,171.9040088015, ,0, ,,0,0.295,1,2.1206896552,0
7,0, ,manual,0,1,0,-4.1652552071,1,0,8.3305104143,0,0,20,-1.7756106628,1,6.9788912872,4.32,4.32,175.6543123134, ,0, ,,0,0.14,1,2.1206896552,-3
8,0, ,manual,0,1,6.0517280842,-2.4184023804,1,0,4.8368047608,6.0517280842,0,20,-32.0302015572,1,7.1679754864,4.62,4.6,181.1528567806, ,0, ,,0,0.29,1,2.1206896552,0
9,0, ,manual,0,1,29.1676203555,-2.3991760128,1,0,4.7983520256,29.1676203555,0,20,-62.5622508748,1,7.0495029845,4.39,4.3,184.216343674, ,0, ,,0,-0.265,1,2.1206896552,0
10,0, ,manual,0,1,45.1758602274,0.8473334859,1,0,-1.6946669718,45.1758602274,0,20,-88.0264405911,1,7.1470704736,4.13,4.04,179.571900589, ,0, ,,0,-0.26,1,2.1206896552,0
11,0, ,manual,0,1,0,1.9624628061,1,0,-3.9249256123,0,0,20,-98.9858181818,1,8.9031706719,4.44,4.29,180.6227873709, ,0, ,,0,0.28,1,2.1206896552,0
12,0, ,manual,0,1,23.7155718318,3.7697413596,1,0,-7.5394827192,23.7155718318,0,20,-101.7186376929,1,9.1545731247,4.37,4.33,184.7677469421, ,0, ,,0,-0.015,1,2.1206896552,0
13,0, ,manual,0,1,23.7155718318,3.8713664454,1,0,-7.7427328908,23.7155718318,0,20,-81.5596653517,1,9.3029727832,4.06,4.07,177.8473358469, ,0, ,,0,-0.285,1,2.1206896552,0
14,0, ,manual,0,1,49.3018997482,3.5994506752,1,0,-7.1989013504,49.3018997482,0,20,-48.2702990619,1,9.9635331383,3.89,3.81,178.3612171369, ,0, ,,0,-0.215,1,2.1206896552,0
