TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human,ModeDelta_H2M
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.62,3.62,742.2645273415, ,0, ,,0,0,1,4.3741496599,0,0
1,3, ,autonomous,0,1,0,62.1300068666,1,0,30.1370166386,20,0,20,30.1370166386,1,1.1007801132,3.88,3.84,751.1592640923, ,0, ,,0,0.24,1,4.3741496599,0,0
2,3, ,autonomous,0,1,0,62.1300068666,1,0,5.4046008195,20,0,20,5.4046008195,1,3.0641800455,4.12,4.13,758.4300255773, ,0, ,,0,0.265,1,4.3741496599,0,0
3,3, ,autonomous,0,1,0,62.1382467384,1,0,-4.1016302319,20,0,20,-4.1016302319,1,4.2726222637,3.97,3.89,740.5107984247, ,0, ,,0,-0.195,1,4.3741496599,0,0
4,3, ,autonomous,0,1,0,62.1382467384,1,0,-3.8845297061,20,0,20,-3.8845297061,1,4.9220611735,4.07,3.97,702.1195866931, ,0, ,,0,0.09,1,4.3741496599,0,0
5,3, ,autonomous,0,1,0,62.1300068666,1,0,-3.0916931281,20,0,20,-3.0916931281,1,5.5678581574,4.1,4.11,690.409289816, ,0, ,,0,0.085,1,4.3741496599,0,0
6,3, ,autonomous,0,1,0,62.1300068666,1,0,-2.3687031344,20,0,20,-2.3687031344,1,6.4040660256,4.17,4.18,699.4335427624, ,0, ,,0,0.07,1,4.3741496599,0,0
7,4, ,autonomous,0,1,0,62.1217669947,1,0,-1.7482780425,20,0,20,-1.7482780425,1,7.0058880659,4.41,4.31,714.2339833386, ,0, ,,0,0.185,1,4.3741496599,1,0
8,5, ,autonomous,0,1,0,62.1300068666,1,0,-1.2485704756,20,0,20,-1.2485704756,1,7.4926858748,4.18,4.15,718.4439653221, ,0, ,,0,-0.195,1,4.3741496599,1,0
9,5, ,autonomous,0,1,0,62.1382467384,1,0,-0.8750975959,20,0,20,-0.8750975959,1,7.8946529181,3.98,4.03,732.5981564314, ,0, ,,0,-0.16,1,4.3741496599,0,0
10,5, ,autonomous,0,1,0,62.1739528496,1,0,-0.5953102239,20,0,20,-0.5953102239,1,8.2316246991,3.99,3.9,739.263200025, ,0, ,,0,-0.06,1,4.3741496599,0,0
11,5, ,autonomous,0,1,0,62.1657129778,1,0,-0.4020489856,20,0,20,-0.4020489856,1,8.5492554454,3.85,3.81,710.9935096246, ,0, ,,0,-0.115,1,4.3741496599,0,0
12,5, ,autonomous,0,1,0,62.1657129778,1,0,-0.2612313066,20,0,20,-0.2612313066,1,8.8657202445,3.92,3.9,703.2448702858, ,0, ,,0,0.08,1,4.3741496599,0,0
13,5, ,autonomous,0,1,0,62.1657129778,1,0,-0.1666834857,20,0,20,-0.1666834857,1,9.1813648911,4.02,4.06,714.2339833386, ,0, ,,0,0.13,1,4.3741496599,0,0
14,5, ,autonomous,0,1,0,62.1657129778,1,0,-0.1147137762,20,0,20,-0.1147137762,1,9.6906158422,3.98,3.99,725.3321078122, ,0, ,,0,-0.055,1,4.3741496599,0,0
15,5, ,autonomous,0,1,0,62.1657129778,1,0,-0.0676601187,20,0,20,-0.0676601187,1,10.0182550443,3.8,3.66,732.8428660312, ,0, ,,0,-0.255,1,4.3741496599,0,0
16,5, ,autonomous,0,1,0,62.1657129778,1,0,-0.0428053983,20,0,20,-0.0428053983,1,10.3108668162,3.69,3.65,738.0197984143, ,0, ,,0,-0.06,1,4.3741496599,0,0
17,5, ,autonomous,0,1,0,62.1657129778,1,0,-0.0225463608,20,0,20,-0.0225463608,1,10.573909161,3.74,3.77,744.0265825817, ,0, ,,0,0.085,1,4.3741496599,0,0
18,5, ,autonomous,0,1,0,62.1657129778,1,0,-0.0153387586,20,0,20,-0.0153387586,1,10.8097219419,3.85,3.82,749.3633034692, ,0, ,,0,0.08,1,4.3741496599,0,0
19,5, ,autonomous,0,1,0,62.1657129778,1,0,-0.0100592358,20,0,20,-0.0100592358,1,11.0239140803,3.96,3.87,755.0368888373, ,0, ,,0,0.08,1,4.3741496599,0,0
20,5, ,autonomous,0,1,4.1550316625,62.1657129778,1,0,-0.0062098382,20,0,20,-0.0062098382,1,11.2316557687,4.22,4.07,760.0063962138, ,0, ,,0,0.23,1,4.3741496599,0,0
21,5, ,autonomous,0,1,31.7265583276,62.1657129778,1,0,-0.0031979239,20,0,20,-0.0031979239,1,11.4374756587,4.47,4.45,764.7750720036, ,0, ,,0,0.315,1,4.3741496599,0,0
22,5, ,autonomous,0,1,40.1419089036,62.1657129778,1,0,-0.000716654,20,0,20,-0.000716654,1,11.6416117127,4.61,4.67,768.2565017932, ,0, ,,0,0.18,1,4.3741496599,0,0
23,5, ,autonomous,0,1,50.3791866941,62.1657129778,1,0,0.0027425403,20,0,20,0.0027425403,1,11.8446842093,4.12,4.14,768.5256174181, ,0, ,,0,-0.51,1,4.3741496599,0,0
24,5, ,autonomous,0,1,3.2684824903,62.1657129778,1,0,-0.0028359404,20,0,20,-0.0028359404,1,12.0466863685,4.51,4.5,769.3340967179, ,0, ,,0,0.375,1,4.3741496599,0,0
25,5, ,autonomous,0,1,0,62.1657129778,1,0,-0.003489712,20,0,20,-0.003489712,1,12.2375826907,4.87,4.75,775.3153246191, ,0, ,,0,0.305,1,4.3741496599,0,0
26,5, ,autonomous,0,1,0,62.1657129778,1,0,0.0004129765,20,0,20,0.0004129765,1,12.4474171339,4.69,4.65,776.6876879778, ,0, ,,0,-0.14,1,4.3741496599,0,0
27,5, ,autonomous,0,1,0,62.1739528496,1,0,0.0004044595,20,0,20,0.0004044595,1,12.6461154691,4.51,4.5,749.6193432975, ,0, ,,0,-0.165,1,4.3741496599,0,0
28,5,pedestrian alarm,autonomous,0,1,0,62.1739528496,1,0,0.0033882449,0,0,0,0.0033882449,1,12.873518519,4.53,4.5,730.8897544897, ,0,pedestrian detected,pedestrian detected,39.1130599976,0.01,1,4.3741496599,0,0
29,5,pedestrian alarm,autonomous,0,1,0,62.1657129778,1,28.4455013275,0.0028217276,0,28.4455013275,0,0.0028217276,1,12.6512815499,4.19,4.24,734.8064438998, ,0,pedestrian detected,,26.3108997345,-0.3,1,4.3741496599,0,0
30,4,pedestrian alarm,autonomous,0,1,0,62.1739528496,1,82.2185516357,-0.0002966048,0,82.2185516357,0,-0.0002966048,1,9.0647514162,4.59,4.53,745.0372324907, ,0,pedestrian detected,,15.5562896729,0.345,1,4.3741496599,-1,0
31,4,pedestrian alarm,autonomous,0,1,0,62.1657129778,1,100,0.0069196692,0,100,0,0.0069196692,1,2.7938881123,4.78,4.77,748.5962323451, ,0,pedestrian detected,,10.2896299362,0.215,1,4.3741496599,0,0
32,4, ,autonomous,0,1,0,62.1657129778,1,0,0.0023153454,20,0,20,0.0023153454,1,1.8559810643,4.54,4.48,688.4594370715, ,0, ,,0,-0.265,1,4.3741496599,0,0
33,4, ,autonomous,0,1,0,62.1657129778,1,0,-0.001642836,20,0,20,-0.001642836,1,3.3380167199,4.77,4.81,660.414740457, ,0, ,,0,0.28,1,4.3741496599,0,0
34,4, ,autonomous,0,1,0,62.1657129778,1,0,0.0026215857,20,0,20,0.0026215857,1,4.3752130172,4.38,4.44,647.5845097785, ,0, ,,0,-0.38,1,4.3741496599,0,0
35,4, ,autonomous,0,1,0,62.1657129778,1,0,76.0069414137,20,0,20,76.0069414137,1,5.0083724799,4.14,4.19,630.4375236414, ,0, ,,0,-0.245,1,4.3741496599,0,0
36,5, ,autonomous,0,1,0,62.1657129778,1,0,76.5801955373,20,0,20,76.5801955373,1,5.7448545231,4.44,4.47,639.5088571977, ,0, ,,0,0.29,1,4.3741496599,1,0
37,5, ,autonomous,0,1,0,62.1657129778,1,0,51.6806401527,20,0,20,51.6806401527,1,6.5138775472,4.47,4.55,659.1088847878, ,0, ,,0,0.055,1,4.3741496599,0,0
38,5, ,autonomous,0,1,0,62.1657129778,1,0,39.7679955406,20,0,20,39.7679955406,1,7.0935148903,4.36,4.47,673.7636437138, ,0, ,,0,-0.095,1,4.3741496599,0,0
39,5, ,autonomous,0,1,0,62.1657129778,1,0,28.5117601695,20,0,20,28.5117601695,1,7.5650084957,4.39,4.46,684.1349114045, ,0, ,,0,0.01,1,4.3741496599,0,0
40,5, ,autonomous,0,1,0,62.1657129778,1,0,21.1763776732,20,0,20,21.1763776732,1,7.9538839136,4.2,4.17,691.9457514531, ,0, ,,0,-0.24,1,4.3741496599,0,0
41,5, ,autonomous,0,1,0,62.1657129778,1,0,-2.5366451831,20,0,20,-2.5366451831,1,8.2841300308,3.88,3.91,699.9370056695, ,0, ,,0,-0.29,1,4.3741496599,0,0
42,5, ,autonomous,0,1,0,62.1657129778,1,0,1.5820370629,20,0,20,1.5820370629,1,8.6013919279,4.11,4.11,701.8949619805, ,0, ,,0,0.215,1,4.3741496599,0,0
43,5, ,autonomous,0,1,0,62.1657129778,1,0,11.7446588883,20,0,20,11.7446588883,1,8.917724259,4.22,4.17,708.2392732559, ,0, ,,0,0.085,1,4.3741496599,0,0
44,5, ,autonomous,0,1,0,62.1657129778,1,0,19.1187836079,20,0,20,19.1187836079,1,9.2532589337,4.01,3.94,714.0015416721, ,0, ,,0,-0.22,1,4.3741496599,0,0
45,5, ,autonomous,0,1,0,62.1657129778,1,0,7.5609338169,20,0,20,7.5609338169,1,9.7488299384,3.93,3.93,720.3310410959, ,0, ,,0,-0.045,1,4.3741496599,0,0
46,5, ,autonomous,0,1,0,62.1657129778,1,0,8.8033855414,20,0,20,8.8033855414,1,10.068220324,3.71,3.75,725.5719865363, ,0, ,,0,-0.2,1,4.3741496599,0,0
47,5, ,autonomous,0,1,0,62.1657129778,1,0,10.7076093836,20,0,20,10.7076093836,1,10.3422961071,3.98,3.92,730.6463472943, ,0, ,,0,0.22,1,4.3741496599,0,0
48,5, ,autonomous,0,1,0,62.1739528496,1,0,18.2531150241,20,0,20,18.2531150241,1,10.6143301862,4.01,3.95,735.5455011389, ,0, ,,0,0.03,1,4.3741496599,0,0
49,5, ,autonomous,0,1,0,76.5662623026,1,0,-104.1670817694,20,0,20,-104.1670817694,1,10.8479301905,4.39,4.29,739.0141846383, ,0, ,,0,0.36,1,4.3741496599,0,0
50,5, ,autonomous,0,1,0,65.6566720073,1,0,-65.74559634,20,0,20,-65.74559634,1,11.0586757624,4.24,4.26,737.5236081307, ,0, ,,0,-0.09,1,4.3741496599,0,0
51,5, ,autonomous,0,1,0,65.4781414511,1,0,-44.9915341829,20,0,20,-44.9915341829,1,11.2659734595,4.32,4.28,670.3683513202, ,0, ,,0,0.05,1,4.3741496599,0,0
52,5, ,autonomous,0,1,0,65.4781414511,1,0,-35.1947955091,20,0,20,-35.1947955091,1,11.4713016495,4.12,4.09,574.97700092, ,0, ,,0,-0.195,1,4.3741496599,0,0
53,5, ,autonomous,0,1,0,65.4781414511,1,0,-18.5079255999,20,0,20,-18.5079255999,1,11.675235669,4.11,4.05,557.1961887781, ,0, ,,0,-0.025,1,4.3741496599,0,0
54,5, ,autonomous,0,1,0,65.4506752117,1,0,-22.9860546965,20,0,20,-22.9860546965,1,11.8780637134,3.93,3.89,579.4749956539, ,0, ,,0,-0.17,1,4.3741496599,0,0
55,5, ,autonomous,0,1,0,65.4506752117,1,0,-22.4725656612,20,0,20,-22.4725656612,1,12.07978939,3.73,3.71,605.2536012589, ,0, ,,0,-0.19,1,4.3741496599,0,0
56,5, ,autonomous,0,1,0,65.4506752117,1,0,-21.2046213239,20,0,20,-21.2046213239,1,12.2804626635,3.89,3.91,621.0408644889, ,0, ,,0,0.18,1,4.3741496599,0,0
57,5, ,autonomous,0,1,0,65.4506752117,1,0,-19.7034664146,20,0,20,-19.7034664146,1,12.4800590284,3.86,3.97,634.0349987319, ,0, ,,0,0.015,1,4.3741496599,0,0
58,5, ,autonomous,0,1,0,65.4506752117,1,0,-15.1503763457,20,0,20,-15.1503763457,1,12.6785547193,3.79,3.81,643.8320885913, ,0, ,,0,-0.115,1,4.3741496599,0,0
59,5, ,autonomous,0,1,0,65.4506752117,1,0,-10.8622297045,20,0,20,-10.8622297045,1,12.9490625692,4,3.89,652.0179956967, ,0, ,,0,0.145,1,4.3741496599,0,0
60,5, ,autonomous,0,1,0,65.4506752117,1,0,-8.2515207293,20,0,20,-8.2515207293,1,13.2474163077,5,3.91,658.4578916178, ,0, ,,0,0.51,1,4.3741496599,0,0
61,5, ,autonomous,0,1,0,65.4506752117,1,0,-6.5195469613,20,0,20,-6.5195469613,1,13.4673423672,3.87,3.83,661.7257808364, ,0, ,,0,-0.605,1,4.3741496599,0,0
62,5, ,autonomous,0,1,0,65.4506752117,1,0,-5.2830503736,20,0,20,-5.2830503736,1,13.6726936471,4.03,3.91,666.355700673, ,0, ,,0,0.12,1,4.3741496599,0,0
63,5, ,autonomous,0,1,0,65.4506752117,1,0,-4.1132649943,20,0,20,-4.1132649943,1,13.8659548183,5,5,673.7636437138, ,0, ,,0,1.03,1,4.3741496599,0,0
64,5, ,autonomous,0,1,0,65.4506752117,1,0,-2.20722293,20,0,20,-2.20722293,1,14.0487949541,3.83,3.81,681.3381481229, ,0, ,,0,-1.18,1,4.3741496599,0,0
65,5, ,autonomous,0,1,0,65.4506752117,1,0,0.6721371469,20,0,20,0.6721371469,1,14.2212798432,3.96,3.92,688.3733737179, ,0, ,,0,0.12,1,4.3741496599,0,0
66,5, ,autonomous,0,1,0,64.8656443122,1,0,5.7605223011,20,0,20,5.7605223011,1,14.3842086002,3.87,3.83,694.1070313042, ,0, ,,0,-0.09,1,4.3741496599,0,0
67,5, ,autonomous,0,1,0,63.1819638361,1,0,14.4289724908,20,0,20,14.4289724908,1,14.5380652511,3.71,3.86,696.1047509567, ,0, ,,0,-0.065,1,4.3741496599,0,0
68,5, ,autonomous,0,1,0,63.1737239643,1,0,41.7308675859,20,0,20,41.7308675859,1,14.6841573786,3.88,3.81,703.2448702858, ,0, ,,0,0.06,1,4.3741496599,0,0
69,5, ,autonomous,0,1,0,63.1654840925,1,0,-0.9944937661,20,0,20,-0.9944937661,1,14.8240935425,4.2,4.21,709.3842743127, ,0, ,,0,0.36,1,4.3741496599,0,0
70,5, ,autonomous,0,1,0,63.1654840925,1,0,14.1599908255,20,0,20,14.1599908255,1,14.958025264,4.33,4.37,712.6100626242, ,0, ,,0,0.145,1,4.3741496599,0,0
71,5, ,autonomous,0,1,0,63.1654840925,1,0,13.4845685779,20,0,20,13.4845685779,1,15.0856418882,4.21,4.31,712.8415990406, ,0, ,,0,-0.09,1,4.3741496599,0,0
72,5, ,autonomous,0,1,0,63.1654840925,1,0,10.8031952978,20,0,20,10.8031952978,1,15.2070900493,4.09,4.18,715.1652653957, ,0, ,,0,-0.125,1,4.3741496599,0,0
73,5, ,autonomous,0,1,0,63.1654840925,1,0,3.7195910904,20,0,20,3.7195910904,1,15.3221787931,4.04,4.07,720.8043600014, ,0, ,,0,-0.08,1,4.3741496599,0,0
74,5, ,autonomous,0,1,0,63.1654840925,1,0,13.7889790275,20,0,20,13.7889790275,1,15.431359068,4,4.08,728.947025816, ,0, ,,0,-0.015,1,4.3741496599,0,0
75,5, ,autonomous,0,1,0,63.1654840925,1,0,19.2300892245,20,0,20,19.2300892245,1,15.5344897971,3.86,3.89,735.7921840328, ,0, ,,0,-0.165,1,4.3741496599,0,0
76,5, ,autonomous,0,1,0,63.1654840925,1,0,8.9739178945,20,0,20,8.9739178945,1,15.6320047365,4.01,4.06,743.5222851473, ,0, ,,0,0.16,1,4.3741496599,0,0
77,5, ,autonomous,0,1,0,63.1654840925,1,0,13.4796035654,15,0,15,13.4796035654,1,15.6767646289,3.96,3.91,749.8755581511, ,0, ,,0,-0.1,1,4.3741496599,0,0
78,5, ,autonomous,0,1,0,63.1654840925,1,0,19.6557265775,20,0,20,19.6557265775,1,15.6356824981,4.01,3.95,754.7771354457, ,0, ,,0,0.045,1,4.3741496599,0,0
79,5, ,autonomous,0,1,0,63.1654840925,1,0,29.8369367791,15,0,15,29.8369367791,1,15.6702750833,4.47,4.38,758.4300255773, ,0, ,,0,0.445,1,4.3741496599,0,0
80,5, ,autonomous,0,1,0,63.1654840925,1,0,37.9583550042,20,0,20,37.9583550042,1,15.6391754887,4.5,4.49,764.7750720036, ,0, ,,0,0.07,1,4.3741496599,0,0
81,5, ,autonomous,0,1,0,63.1654840925,1,0,50.0784159846,15,0,15,50.0784159846,1,15.667039821,4.42,4.43,771.4983810106, ,0, ,,0,-0.07,1,4.3741496599,0,0
82,5, ,autonomous,0,1,0,63.1654840925,1,0,45.0498341651,20,0,20,45.0498341651,1,15.6447327796,4.29,4.15,778.0649183133, ,0, ,,0,-0.205,1,4.3741496599,0,0
83,5, ,autonomous,0,1,0,63.1654840925,1,0,14.3632841384,15,0,15,14.3632841384,1,15.6630612205,4.45,4.33,783.0636488229, ,0, ,,0,0.17,1,4.3741496599,0,0
84,5, ,autonomous,0,1,0,63.1654840925,1,0,1.3044383653,15,0,15,1.3044383653,1,15.6516741833,4.43,4.36,787.2785857705, ,0, ,,0,0.005,1,4.3741496599,0,0
85,5, ,autonomous,0,1,0,63.1654840925,1,0,-3.5032471323,15,0,15,-3.5032471323,1,15.6585702052,4.53,4.48,792.1107041246, ,0, ,,0,0.11,1,4.3741496599,0,0
86,5, ,autonomous,0,1,0,63.1654840925,1,0,-5.3689319847,15,0,15,-5.3689319847,1,15.6594070924,4.68,4.55,797.5819866427, ,0, ,,0,0.11,1,4.3741496599,0,0
87,5, ,autonomous,0,1,0,63.1654840925,1,0,-6.1017066612,15,0,15,-6.1017066612,1,15.6538064553,4.8,4.69,804.0123431975, ,0, ,,0,0.13,1,4.3741496599,0,0
88,5, ,autonomous,0,1,0,63.1654840925,1,0,-5.5121112029,15,0,15,-5.5121112029,1,15.6664039161,4.85,4.73,808.1586525345, ,0, ,,0,0.045,1,4.3741496599,0,0
89,4, ,autonomous,0,1,0,63.1819638361,1,0,-13.0705389837,15,0,15,-13.0705389837,1,15.6488611411,4.91,4.95,810.8467948767, ,0, ,,0,0.14,1,4.3741496599,-1,0
90,4, ,autonomous,0,1,0,63.1819638361,1,0,-14.3548084887,15,0,15,-14.3548084887,1,15.6714411447,4.69,4.59,812.0472734944, ,0, ,,0,-0.29,1,4.3741496599,0,0
91,4, ,autonomous,0,1,0,63.1819638361,1,0,-13.7609893882,20,0,20,-13.7609893882,1,15.6438159425,4.98,5.01,802.8354864846, ,0, ,,0,0.355,1,4.3741496599,0,0
92,3, ,autonomous,0,1,0,63.1819638361,1,0,-12.1518011134,15,0,15,-12.1518011134,1,15.6741039784,4.38,4.36,783.9030217894, ,0, ,,0,-0.625,1,4.3741496599,-1,0
93,3,cyclist alarm,autonomous,0,1,0,63.1819638361,1,0,-9.9498130449,20,0,20,-9.9498130449,1,15.6387454015,4.91,4.85,783.6230309316, ,0,cyclist detected,cyclist detected,37.8669624329,0.51,1,4.3741496599,0,0
94,3,cyclist alarm,autonomous,0,1,0,63.1819638361,1,0,22.2708565848,15,0,15,22.2708565848,1,15.6761763196,4.56,4.51,784.7441961496, ,0,cyclist detected,,27.1939983368,-0.345,1,4.3741496599,0,0
95,3,cyclist alarm,autonomous,0,1,0,63.1819638361,1,0,-150.7306569076,20,0,20,-150.7306569076,1,15.6414222754,4.85,4.91,784.4636041835, ,0,cyclist detected,,16.3993530273,0.345,1,4.3741496599,0,0
96,3,cyclist alarm,autonomous,0,1,0,61.9047837034,1,0,-42.1145813249,15,0,15,-42.1145813249,1,15.6742106034,4.98,5.04,771.4983810106, ,0,cyclist detected,,7.2437090874,0.13,1,4.3741496599,0,0
97,3, ,autonomous,0,1,0,61.9322499428,1,0,-16.8435342789,20,0,20,-16.8435342789,1,15.6368635737,4.61,4.65,747.3212642942, ,0, ,,0,-0.38,1,4.3741496599,0,0
98,4, ,autonomous,0,1,0,61.9404898146,1,0,-15.904077135,15,0,15,-15.904077135,1,15.6740668755,4.43,4.44,670.7782691452, ,0, ,,0,-0.195,1,4.3741496599,1,0
99,4, ,autonomous,0,1,0,61.9404898146,1,0,-16.8752953152,20,0,20,-16.8752953152,1,15.635878243,4.3,4.3,588.6854653559, ,0, ,,0,-0.135,1,4.3741496599,0,0
100,4, ,autonomous,0,1,0,61.9404898146,1,0,52.7903503561,15,0,15,52.7903503561,1,15.6724966453,4.38,4.42,573.9869130984, ,0, ,,0,0.1,1,4.3741496599,0,0
101,4, ,autonomous,0,1,0,61.9404898146,1,0,44.2218386601,20,0,20,44.2218386601,1,15.6379598933,4.29,4.28,593.4013766912, ,0, ,,0,-0.115,1,4.3741496599,0,0
102,4, ,autonomous,0,1,0,61.9404898146,1,0,44.6894864457,15,0,15,44.6894864457,1,15.6695575183,4.26,4.27,613.6098668467, ,0, ,,0,-0.02,1,4.3741496599,0,0
103,4, ,autonomous,0,1,0,61.9404898146,1,0,50.4015684349,20,0,20,50.4015684349,1,15.6424562255,4.34,4.32,627.4706657464, ,0, ,,0,0.065,1,4.3741496599,0,0
104,4, ,autonomous,0,1,0,61.9487296864,1,0,48.4013039976,15,0,15,48.4013039976,1,15.665792154,4.51,4.4,640.7381303261, ,0, ,,0,0.125,1,4.3741496599,0,0
105,4, ,autonomous,0,1,0,61.9487296864,1,0,51.4568952415,20,0,20,51.4568952415,1,15.6428689039,4.64,4.47,651.3809275664, ,0, ,,0,0.1,1,4.3741496599,0,0
106,4, ,autonomous,0,1,0,61.9487296864,1,0,47.9734144537,15,0,15,47.9734144537,1,15.6679312501,4.21,4.15,661.06961063, ,0, ,,0,-0.375,1,4.3741496599,0,0
107,4, ,autonomous,0,1,0,61.9597161822,1,0,50.8210027399,20,0,20,50.8210027399,1,15.6448478395,4.46,4.48,666.355700673, ,0, ,,0,0.29,1,4.3741496599,0,0
108,4, ,autonomous,0,1,0,61.967956054,1,0,49.5703730766,15,0,15,49.5703730766,1,15.6631661954,3.92,3.95,671.0508656556, ,0, ,,0,-0.535,1,4.3741496599,0,0
109,4, ,autonomous,0,1,0,61.9761959258,1,0,50.7274028681,15,0,15,50.7274028681,1,15.6517925617,3.67,3.65,677.874186551, ,0, ,,0,-0.275,1,4.3741496599,0,0
110,4, ,autonomous,0,1,0,61.9761959258,1,0,51.7394198489,15,0,15,51.7394198489,1,15.6586838577,5,3.83,686.9547296833, ,0, ,,0,0.755,1,4.3741496599,0,0
111,4, ,autonomous,0,1,0,61.9761959258,1,0,50.1320857743,15,0,15,50.1320857743,1,15.6595094753,3.83,3.76,695.5554009877, ,0, ,,0,-0.62,1,4.3741496599,0,0
112,4, ,autonomous,0,1,0,61.9761959258,1,0,52.2090711904,15,0,15,52.2090711904,1,15.6539036818,3.75,3.7,699.6565945503, ,0, ,,0,-0.07,1,4.3741496599,0,0
113,4, ,autonomous,0,1,0,61.9761959258,1,0,49.7816592033,15,0,15,49.7816592033,1,15.6664937807,3.67,3.6,707.5540451006, ,0, ,,0,-0.09,1,4.3741496599,0,0
114,4, ,autonomous,0,1,0,61.9761959258,1,0,47.2010656645,15,0,15,47.2010656645,1,15.6489375552,3.97,4,715.3984654989, ,0, ,,0,0.35,1,4.3741496599,0,12
115,4, ,autonomous,0,1,0,61.9761959258,1,0,137.6253774888,15,0,15,137.6253774888,1,15.669537423,3.97,3.93,722.9420154235, ,0, ,,0,-0.035,1,4.3741496599,0,12
116,4, ,autonomous,0,1,0,62.201419089,1,0,-13.3994736134,20,0,20,-13.3994736134,1,15.6439226684,4.4,4.29,729.1893019179, ,0, ,,0,0.395,1,4.3741496599,0,12
117,4, ,autonomous,0,1,0,62.201419089,1,0,-3.7860431173,15,0,15,-3.7860431173,1,15.6735117511,4.33,4.38,735.0526312385, ,0, ,,0,0.01,1,4.3741496599,0,12
118,4, ,autonomous,0,1,0,62.201419089,1,0,-4.5620317222,20,0,20,-4.5620317222,1,15.6459390972,5,5,737.0280846026, ,0, ,,0,0.645,1,4.3741496599,0,12
119,4, ,autonomous,0,1,0,62.1931792172,1,0,-2.0823603014,15,0,15,-2.0823603014,1,15.6688433675,4.1,4.1,738.2681440101, ,0, ,,0,-0.9,1,4.3741496599,0,12
