TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.77,4.05,161.6971735334, ,0, ,0,77,0,0.8,rainy,1.9555555556,0,-0.3061486915,7.8946525755
1,3, ,autonomous,0,1,0,0.611123827,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,3.45,3.73,163.6982713463, ,0, ,0,72,-0.32,0.8,rainy,1.9555555556,0,4.0417646384,7.130961248
2,3, ,autonomous,0,1,0,0.611123827,1,0,-2.6401533144,20,0,20,-2.6401533144,1,2.9827933065,3.46,3.68,164.27914312, ,0, ,0,71,-0.02,0.8,rainy,1.9555555556,0,2.49694513,5.5664620718
3,3, ,autonomous,0,1,0,0.611123827,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,3.6,3.85,165.1582215763, ,0, ,0,70,0.155,0.8,rainy,1.9555555556,0,1.6379634128,4.5931030077
4,3, ,autonomous,0,1,0,0.611123827,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,3.53,3.71,157.4356875216, ,0, ,0,69,-0.105,0.8,rainy,1.9555555556,0,1.306539672,4.2593104238
5,3,cyclist alarm,autonomous,0,1,0,0.611123827,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,3.34,3.6,157.5696457834, ,0,false alarm,37.9906578064,71,-0.15,0.8,rainy,1.9555555556,0,1.0441908395,4.1227619643
6,3,cyclist alarm,autonomous,0,1,0,0.611123827,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,3.43,3.68,161.2747153501, ,0,false alarm,31.9278945923,80,0.085,0.8,rainy,1.9555555556,0,0.811510184,3.6141916725
7,3,cyclist alarm,autonomous,0,1,0,0.611123827,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,3.38,3.76,163.2653061224, ,0,false alarm,25.5967979431,76,0.015,0.8,rainy,1.9555555556,0,0.5904296325,3.3049801889
8,3,cyclist alarm,autonomous,0,1,0,0.611123827,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,3.37,3.63,164.4250057549, ,0,false alarm,18.6075611115,76,-0.07,0.8,rainy,1.9555555556,0,0.432454122,3.0812240059
9,3, ,autonomous,0,1,0,0.611123827,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8946525755,3.55,3.65,165.3056501471, ,0, ,0,81,0.1,0.8,rainy,1.9555555556,0,0.2979051652,2.9150693664
10,3, ,autonomous,0,1,0,0.611123827,1,0,-0.2091058256,20,0,20,-0.2091058256,1,8.2316245441,3.54,3.71,165.898005906, ,0, ,0,72,0.025,0.8,rainy,1.9555555556,0,0.202020362,2.7922895361
11,3, ,autonomous,0,1,0,0.611123827,1,0,-0.1432081844,20,0,20,-0.1432081844,1,8.5492553782,3.51,3.73,166.4946222237, ,0, ,0,69,-0.005,0.8,rainy,1.9555555556,0,0.1441647193,2.6824003904
12,3, ,autonomous,0,1,0,0.611123827,1,0,-0.094500822,20,0,20,-0.094500822,1,8.8657202164,3.45,3.66,167.0955452328, ,0, ,0,71,-0.065,0.8,rainy,1.9555555556,0,0.0962861164,2.5615190531
13,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0607624024,20,0,20,-0.0607624024,1,9.1813648794,3.55,3.68,167.700821734, ,0, ,0,69,0.06,0.8,rainy,1.9555555556,0,0.0615464914,2.4602468333
14,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0429562836,20,0,20,-0.0429562836,1,9.6906158377,3.45,3.64,168.3104992089, ,0, ,0,68,-0.07,0.8,rainy,1.9555555556,0,0.0386472475,2.1540683716
15,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0213437161,20,0,20,-0.0213437161,1,10.0182550428,3.76,3.79,168.7706744076, ,0, ,0,72,0.23,0.8,rainy,1.9555555556,0,0.0195562877,2.0284313258
16,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0206823721,20,0,20,-0.0206823721,1,10.3108668157,3.62,3.64,169.2333728211, ,0, ,0,73,-0.145,0.8,rainy,1.9555555556,0,0.0222746667,1.9166933515
17,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0073685071,20,0,20,-0.0073685071,1,10.5739091609,3.7,3.71,169.8542650406, ,0, ,0,77,0.075,0.8,rainy,1.9555555556,0,0.0107056622,1.873507973
18,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0082435262,20,0,20,-0.0082435262,1,10.8097219419,3.41,3.69,170.3229322796, ,0, ,0,74,-0.155,0.8,rainy,1.9555555556,0,0.0080987716,1.8363935272
19,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0070854636,20,0,20,-0.0070854636,1,11.0239140802,3.22,3.44,170.6368165995, ,0, ,0,73,-0.22,0.8,rainy,1.9555555556,0,0.0064894163,1.8496044387
20,3, ,autonomous,0,1,0,0.611123827,1,0,0.000956535,20,0,20,0.000956535,1,11.2316557686,3.47,3.61,171.2680687813, ,0, ,0,71,0.21,0.8,rainy,1.9555555556,0,0.0008181114,1.9779988747
21,3, ,autonomous,0,1,0,0.611123827,1,0,0.0017852944,20,0,20,0.0017852944,1,11.4272392695,3.67,3.84,171.7445814585, ,0, ,0,74,0.215,0.8,rainy,1.9555555556,0,0.0071017378,2.0055056972
22,3, ,autonomous,0,1,0,0.611123827,1,0,0.000784089,20,0,20,0.000784089,1,11.6416117127,3.46,3.78,172.2237531, ,0, ,0,75,-0.135,0.8,rainy,1.9555555556,0,107.9443415005,1.9989239263
23,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0043090361,20,0,20,-0.0043090361,1,11.8446842093,3.53,3.86,172.705606024, ,0, ,0,71,0.075,0.8,rainy,1.9555555556,0,15.1479725626,1.9906447878
24,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0017874284,20,0,20,-0.0017874284,1,12.0466863685,3.53,3.78,173.0283420424, ,0, ,0,76,-0.04,0.8,rainy,1.9555555556,0,21.8712304862,1.9732629429
25,3, ,autonomous,0,1,0,0.611123827,1,0,0.0015922945,20,0,20,0.0015922945,1,12.2275601672,3.57,3.76,173.5147140478, ,0, ,0,74,0.01,0.8,rainy,1.9555555556,0,2.3143061298,1.966456423
26,3, ,autonomous,0,1,0,0.611123827,1,0,0.0033371552,20,0,20,0.0033371552,1,12.4474171339,3.57,3.83,174.1674794482, ,0, ,0,76,0.035,0.8,rainy,1.9555555556,0,13.1463895465,1.9110658832
27,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0001447546,20,0,20,-0.0001447546,1,12.6461154691,3.61,3.91,174.6602857442, ,0, ,0,78,0.06,0.8,rainy,1.9555555556,0,16.3212358196,1.8675991492
28,3, ,autonomous,0,1,0,0.611123827,1,0,-0.0005960473,20,0,20,-0.0005960473,1,12.873518519,3.49,3.82,174.9903755293, ,0, ,0,73,-0.105,0.8,rainy,1.9555555556,0,43.7402861467,1.7874098293
29,3, ,autonomous,0,1,0,0.611123827,1,0,0.0017746464,20,0,20,0.0017746464,1,13.2096546434,3.81,3.99,175.6543123134, ,0, ,0,76,0.245,0.8,rainy,1.9555555556,0,3.7833395568,1.5921447128
30,3, ,autonomous,0,1,0,0.611123827,1,0,0.0088870322,20,0,20,0.0088870322,1,13.4327449667,3.9,4.18,176.3233064146, ,0, ,0,75,0.14,0.8,rainy,1.9555555556,0,-24.493192414,1.5040376711
31,3, ,autonomous,0,1,0,0.611123827,1,0,107.9451255895,20,0,20,107.9451255895,1,13.640535639,3.93,4.24,176.6597180511, ,0, ,0,74,0.045,0.8,rainy,1.9555555556,0,-211.9464735336,1.4251486789
32,3, ,autonomous,0,1,0,0.611123827,1,0,15.1436635265,20,0,20,15.1436635265,1,13.8353289971,4.17,4.28,177.1667493445, ,0, ,0,73,0.14,0.8,rainy,1.9555555556,0,-100.5988646724,1.3527161445
33,3, ,autonomous,0,1,0,0.611123827,1,0,21.8694430578,20,0,20,21.8694430578,1,14.0199493114,3.66,4.14,175.3217153477, ,0, ,0,76,-0.325,0.8,rainy,1.9555555556,0,-67.0144426908,1.2840516268
34,3, ,autonomous,0,1,0,0.611123827,1,0,2.3158984243,20,0,20,2.3158984243,1,14.1940165901,3.58,4.13,170.3229322796, ,0, ,0,70,-0.045,0.8,rainy,1.9555555556,0,-32.9743332693,1.2200418003
35,3, ,autonomous,0,1,0,0.611123827,1,0,13.1497267016,20,0,20,13.1497267016,1,14.3584830171,5,4.43,171.9040088015, ,0, ,0,67,0.86,0.8,rainy,1.9555555556,0,-36.7261011777,1.1597005794
36,3, ,autonomous,0,1,0,0.611123827,1,0,16.321091065,20,0,20,16.321091065,1,14.5137146183,4.03,4.15,174.0038280842, ,0, ,0,72,-0.625,0.8,rainy,1.9555555556,0,-31.3846840215,1.1028539884
37,3,cyclist alarm,autonomous,0,1,0,0.611123827,1,0,43.7396900994,20,0,20,43.7396900994,1,14.6609283483,4.02,4.18,174.8251748252,cyclist detected,28.7043857574,cyclist detected,26.1210231781,68,0.01,0.8,rainy,1.9555555556,0,-60.9382989586,1.018741226
