TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.87,4.47,72.64274299, ,0, ,0,-1,0,0.8,rainy,3.0165745856,0,-0.3061486915,7.8946525755
1,3, ,autonomous,0,1,0,5.0029755093,1,0,-4.2827258197,20,0,20,-4.2827258197,1,1.0044714819,4.97,4.52,72.6142585358, ,0, ,0,-1,0.075,0.8,rainy,3.0165745856,0,4.0688318355,7.2111510835
2,3, ,autonomous,0,1,0,5.0029755093,1,0,-2.6401533144,20,0,20,-2.6401533144,1,2.9827933065,4.1,3.75,72.9288214702, ,0, ,0,61,-0.82,0.8,rainy,3.0165745856,0,2.4971009156,5.5506178477
3,3, ,autonomous,0,1,0,5.0029755093,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,4.38,3.95,71.8814244023, ,0, ,0,58,0.24,0.8,rainy,3.0165745856,0,1.6385920117,4.5772988276
4,3, ,autonomous,0,1,0,5.0029755093,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,4.49,4.09,71.9652264026, ,0, ,0,62,0.125,0.8,rainy,3.0165745856,0,1.306539672,4.2593104238
5,3,cyclist alarm,autonomous,0,1,0,5.0029755093,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,4.6,4.13,72.5857964114, ,0,false alarm,37.9906578064,64,0.075,0.8,rainy,3.0165745856,0,1.0441908395,4.1227619643
6,3,cyclist alarm,autonomous,0,1,0,5.0029755093,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,4.43,4.04,73.101552677, ,0,false alarm,31.9278945923,56,-0.13,0.8,rainy,3.0165745856,0,0.811510184,3.6141916725
7,3,cyclist alarm,autonomous,0,1,0,5.0029755093,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,4.18,3.9,73.2171621028, ,0,false alarm,25.5967979431,66,-0.195,0.8,rainy,3.0165745856,0,0.5904296325,3.3049801889
8,3,cyclist alarm,autonomous,0,1,0,5.0029755093,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,4.63,4.1,71.7421872758, ,0,false alarm,18.6075611115,61,0.325,0.8,rainy,3.0165745856,0,0.431811844,3.0687577728
9,3, ,autonomous,0,1,0,5.0029755093,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8946525755,4.54,4.28,71.7978173464, ,0, ,0,61,0.045,0.8,rainy,3.0165745856,0,0.2979051652,2.9150693664
10,3, ,autonomous,0,1,0,5.0029755093,1,0,-0.2138939842,20,0,20,-0.2138939842,1,8.2156225654,4.64,4.25,72.3871845728, ,0, ,0,64,0.035,0.8,rainy,3.0165745856,0,0.2102030671,2.7978451462
11,4, ,autonomous,0,1,0,5.0029755093,1,0,-0.1430523988,20,0,20,-0.1430523988,1,8.5334111541,4.66,4.21,73.0150849165, ,0, ,0,56,-0.01,0.8,rainy,3.0165745856,1,0.1440089337,2.6982446145
12,4, ,autonomous,0,1,0,5.0029755093,1,0,-0.0938722231,20,0,20,-0.0938722231,1,8.8499160363,4.56,4.14,73.5369817481, ,0, ,0,57,-0.085,0.8,rainy,3.0165745856,0,0.0953339499,2.5875596224
13,4, ,autonomous,0,1,0,5.0029755093,1,0,-0.0607624024,20,0,20,-0.0607624024,1,9.1813648794,4.56,4.09,73.9776291649, ,0, ,0,58,-0.025,0.8,rainy,3.0165745856,0,0.0590906267,2.450065387
14,4, ,autonomous,0,1,0,5.0029755093,1,0,-0.0429562836,20,0,20,-0.0429562836,1,9.6906158377,4.45,4.02,74.2743397011, ,0, ,0,58,-0.09,0.8,rainy,3.0165745856,0,0.0393814221,2.1439400358
15,4, ,autonomous,0,1,0,5.0029755093,1,0,-0.0213437161,20,0,20,-0.0213437161,1,10.0182550428,4.11,3.81,74.543421543, ,0, ,0,60,-0.275,0.8,rainy,3.0165745856,0,0.0195562877,2.0284313258
16,4, ,autonomous,0,1,0,5.0029755093,1,0,-0.0206823721,20,0,20,-0.0206823721,1,10.3108668157,4.05,3.64,74.3638175409, ,0, ,0,60,-0.115,0.8,rainy,3.0165745856,0,0.0272459907,1.9267158751
