TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.92,4.78,244.875970321, ,0, ,,0,0,0.8,2.2,0
1,3, ,autonomous,0,1,0,3.0611123827,1,0,-9.7667339893,20,0,20,-9.7667339893,1,1.1006729552,5.26,5.01,246.5969619254, ,0, ,,0,0.285,0.8,2.2,0
2,3, ,autonomous,0,1,0,3.0611123827,1,0,-3.9322145959,20,0,20,-3.9322145959,1,3.0641624658,5.07,4.79,248.2498386376, ,0, ,,0,-0.205,0.8,2.2,0
3,3, ,autonomous,0,1,0,3.0611123827,1,0,-1.3562236118,20,0,20,-1.3562236118,1,4.2726167323,5.07,4.88,220.4974422297, ,0, ,,0,0.045,0.8,2.2,0
4,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.9694154189,20,0,20,-0.9694154189,1,4.9220539774,5.13,4.9,195.2896144983, ,0, ,,0,0.04,0.8,2.2,0
5,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.7636353653,20,0,20,-0.7636353653,1,5.5678535698,5.5,5.12,204.3401855409, ,0, ,,0,0.295,0.8,2.2,0
6,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.587824435,20,0,20,-0.587824435,1,6.4040631807,5.05,4.77,213.2832828563, ,0, ,,0,-0.4,0.8,2.2,0
7,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.4328645754,20,0,20,-0.4328645754,1,7.0058865239,5.26,5.02,218.0549498474, ,0, ,,0,0.23,0.8,2.2,0
8,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.3109340456,20,0,20,-0.3109340456,1,7.4926851027,4.77,4.57,204.3401855409, ,0, ,,0,-0.47,0.8,2.2,0
9,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.2182082276,20,0,20,-0.2182082276,1,7.894652551,5.34,5.3,207.7792553191, ,0, ,,0,0.65,0.8,2.2,0
10,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.1480059243,20,0,20,-0.1480059243,1,8.2316245327,5.49,5.14,216.778668979, ,0, ,,0,-0.005,0.8,2.2,0
11,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.0948837488,20,0,20,-0.0948837488,1,8.5492553735,5.17,4.81,239.1657897254, ,0, ,,0,-0.325,0.8,2.2,0
12,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.062142005,20,0,20,-0.062142005,1,8.8657202146,4.9,4.66,243.1788337143, ,0, ,,0,-0.21,0.8,2.2,0
13,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.0455028608,20,0,20,-0.0455028608,1,9.1813648787,4.9,4.67,245.5072179122, ,0, ,,0,0.005,0.8,2.2,0
14,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.028437671,20,0,20,-0.028437671,1,9.6906158375,5.65,5.1,247.4206398298, ,0, ,,0,0.59,0.8,2.2,0
15,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.0198513162,20,0,20,-0.0198513162,1,10.0182550426,5.47,5.22,250.8654859264, ,0, ,,0,-0.03,0.8,2.2,0
16,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.0087355669,20,0,20,-0.0087355669,1,10.3108668156,5.1,4.86,254.1166903842, ,0, ,,0,-0.365,0.8,2.2,0
17,3, ,autonomous,0,1,0,3.0611123827,1,0,-0.0059386269,20,0,20,-0.0059386269,1,10.5739091609,5.31,5.1,256.3642423155, ,0, ,,0,0.225,0.8,2.2,0
18,3,obstacle alarm,autonomous,0,1,0,3.0693522545,1,0,48.1201069696,20,0,20,48.1201069696,1,10.810262715,5.4,5.27,256.3642423155,obstacle detected,36.5770301819,obstacle detected,obstacle detected,34.4168586731,0.13,0.8,2.2,0
19,3,obstacle alarm,autonomous,0,1,0,3.0693522545,1,0,13.2290763514,20,0,20,13.2290763514,1,11.024019327,5.11,5.05,242.119025713, ,0,obstacle detected,,23.5568199158,-0.255,0.8,2.2,0
20,3,obstacle alarm,autonomous,0,1,0,3.0693522545,1,0,-12.5815951824,20,0,20,-12.5815951824,1,11.2317539542,5.45,5.25,221.7442401934, ,0,obstacle detected,,12.6068525314,0.27,0.8,2.2,0
21,3,obstacle alarm,autonomous,0,1,0,3.0693522545,1,0,19.7650473483,20,0,20,19.7650473483,1,11.4374995064,5.71,5.49,189.8830320523, ,0,obstacle detected,,4.553668499,0.25,0.8,2.2,0
22,3, ,autonomous,0,1,0,3.0693522545,1,0,-5.2515460537,20,0,20,-5.2515460537,1,11.6416540904,5.26,4.99,196.1168856639, ,0, ,,0,-0.475,0.8,2.2,0
23,3, ,autonomous,0,1,0,3.0693522545,1,0,-5.3272393731,20,0,20,-5.3272393731,1,11.844690353,5.58,5.21,199.9280259107, ,0, ,,0,0.27,0.8,2.2,0
24,3, ,autonomous,0,1,0,3.0693522545,1,0,-2.1706440945,20,0,20,-2.1706440945,1,12.0466867519,4.83,4.72,196.7419532541, ,0, ,,0,-0.62,0.8,2.2,0
25,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.6720058827,20,0,20,-0.6720058827,1,12.2476024922,5.22,4.96,202.9962242702, ,0, ,,0,0.315,0.8,2.2,0
26,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.250345065,20,0,20,-0.250345065,1,12.4474171433,5.39,5.18,201.2315370065, ,0, ,,0,0.195,0.8,2.2,0
27,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.1432677494,20,0,20,-0.1432677494,1,12.6461154735,5.52,5.36,205.0188617353, ,0, ,,0,0.155,0.8,2.2,0
28,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.095954949,20,0,20,-0.095954949,1,12.8735185205,5.72,5.45,212.7931225263, ,0, ,,0,0.145,0.8,2.2,0
29,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.0546048411,20,0,20,-0.0546048411,1,13.2096546437,5.78,5.48,217.5426383571, ,0, ,,0,0.045,0.8,2.2,0
30,3, ,autonomous,0,1,0,3.0693522545,1,0,-0.0218083029,20,0,20,-0.0218083029,1,13.4327449667,5.78,5.54,221.1802176413, ,0, ,,0,0.03,0.8,2.2,0
31,3, ,autonomous,0,1,0,3.0693522545,1,0,2.7383914875,20,0,20,2.7383914875,1,13.6403676804,5.81,5.83,236.200014172, ,0, ,,0,0.16,0.8,2.2,0
32,3, ,autonomous,0,1,0,3.0693522545,1,0,58.0717904666,20,0,20,58.0717904666,1,13.8359829821,5.84,5.41,237.7160244372, ,0, ,,0,-0.195,0.8,2.2,0
33,3, ,autonomous,0,1,0,3.0693522545,1,0,52.8790007616,20,0,20,52.8790007616,1,14.020142381,5.41,5.2,242.0311252027, ,0, ,,0,-0.32,0.8,2.2,0
34,3, ,autonomous,0,1,0,3.0693522545,1,0,32.6179985041,20,0,20,32.6179985041,1,14.194105026,5.41,5.14,221.376073674, ,0, ,,0,-0.03,0.8,2.2,0
35,3, ,autonomous,0,1,0,3.0693522545,1,0,25.2168586656,20,0,20,25.2168586656,1,14.3584790591,5.01,4.88,193.858560794, ,0, ,,0,-0.33,0.8,2.2,0
36,2, ,autonomous,0,1,0,3.0693522545,1,0,14.2744833826,20,0,20,14.2744833826,1,14.5137049328,5.49,5.25,199.2825827023, ,0, ,,0,0.425,0.8,2.2,-1
37,2, ,autonomous,0,1,0,3.0693522545,1,0,9.6258912475,20,0,20,9.6258912475,1,14.6608807971,5.62,5.46,198.4284467021, ,0, ,,0,0.17,0.8,2.2,0
38,2, ,autonomous,0,1,0,3.0693522545,1,0,11.8518086787,20,0,20,11.8518086787,1,14.801801845,5.38,5.33,199.0683600749, ,0, ,,0,-0.185,0.8,2.2,0
39,2, ,autonomous,0,1,0,3.0693522545,1,0,18.533656799,20,0,20,18.533656799,1,14.9368254906,5.86,5.57,191.4535150865, ,0, ,,0,0.36,0.8,2.2,0
40,2, ,autonomous,0,1,0,3.0693522545,1,0,-34.371211158,20,0,20,-34.371211158,1,15.0653683188,5.75,5.6,197.5816012013, ,0, ,,0,-0.04,0.8,2.2,0
